app_id: 0, app_name: SAR_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2116368570839080, ref_stop_time: 2116368571047610, actual_exe_time: 208530, task_app_start_time:2116367583020641, task_sched_time:2116368570828220
app_id: 0, app_name: SAR_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2116368571319800, ref_stop_time: 2116368571473550, actual_exe_time: 153750, task_app_start_time:2116367583020641, task_sched_time:2116368571310050
app_id: 0, app_name: SAR_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2116368579512411, ref_stop_time: 2116368579609311, actual_exe_time: 96900, task_app_start_time:2116367583020641, task_sched_time:2116368579502211
app_id: 0, app_name: SAR_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2116368582582492, ref_stop_time: 2116368582757632, actual_exe_time: 175140, task_app_start_time:2116367583020641, task_sched_time:2116368582573882
app_id: 0, app_name: SAR_api-aarch64, task_id: 4, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2116368587727793, ref_stop_time: 2116368587838943, actual_exe_time: 111150, task_app_start_time:2116367583020641, task_sched_time:2116368587550583
app_id: 0, app_name: SAR_api-aarch64, task_id: 5, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2116368593127014, ref_stop_time: 2116368593301284, actual_exe_time: 174270, task_app_start_time:2116367583020641, task_sched_time:2116368593115044
app_id: 0, app_name: SAR_api-aarch64, task_id: 6, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2116368598719555, ref_stop_time: 2116368598850955, actual_exe_time: 131400, task_app_start_time:2116367583020641, task_sched_time:2116368598703445
app_id: 0, app_name: SAR_api-aarch64, task_id: 7, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2116368602545755, ref_stop_time: 2116368602651025, actual_exe_time: 105270, task_app_start_time:2116367583020641, task_sched_time:2116368602540895
app_id: 0, app_name: SAR_api-aarch64, task_id: 8, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2116368606945736, ref_stop_time: 2116368607022986, actual_exe_time: 77250, task_app_start_time:2116367583020641, task_sched_time:2116368606940426
app_id: 0, app_name: SAR_api-aarch64, task_id: 9, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2116368607864486, ref_stop_time: 2116368608416366, actual_exe_time: 551880, task_app_start_time:2116367583020641, task_sched_time:2116368607700146
app_id: 0, app_name: SAR_api-aarch64, task_id: 10, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2116368610619866, ref_stop_time: 2116368610697386, actual_exe_time: 77520, task_app_start_time:2116367583020641, task_sched_time:2116368610609396
app_id: 0, app_name: SAR_api-aarch64, task_id: 11, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2116368618504078, ref_stop_time: 2116368618631158, actual_exe_time: 127080, task_app_start_time:2116367583020641, task_sched_time:2116368614585537
app_id: 0, app_name: SAR_api-aarch64, task_id: 12, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2116368618907278, ref_stop_time: 2116368619021278, actual_exe_time: 114000, task_app_start_time:2116367583020641, task_sched_time:2116368618899748
app_id: 0, app_name: SAR_api-aarch64, task_id: 13, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2116368619973328, ref_stop_time: 2116368620068428, actual_exe_time: 95100, task_app_start_time:2116367583020641, task_sched_time:2116368619879218
app_id: 0, app_name: SAR_api-aarch64, task_id: 14, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2116368621123378, ref_stop_time: 2116368621200448, actual_exe_time: 77070, task_app_start_time:2116367583020641, task_sched_time:2116368620596848
app_id: 0, app_name: SAR_api-aarch64, task_id: 15, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2116368623052318, ref_stop_time: 2116368623177298, actual_exe_time: 124980, task_app_start_time:2116367583020641, task_sched_time:2116368623042028
app_id: 0, app_name: SAR_api-aarch64, task_id: 16, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2116368627322879, ref_stop_time: 2116368627400039, actual_exe_time: 77160, task_app_start_time:2116367583020641, task_sched_time:2116368627169099
app_id: 0, app_name: SAR_api-aarch64, task_id: 17, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2116368630542060, ref_stop_time: 2116368630662420, actual_exe_time: 120360, task_app_start_time:2116367583020641, task_sched_time:2116368630537200
app_id: 0, app_name: SAR_api-aarch64, task_id: 18, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2116368634619120, ref_stop_time: 2116368634734260, actual_exe_time: 115140, task_app_start_time:2116367583020641, task_sched_time:2116368634609700
app_id: 0, app_name: SAR_api-aarch64, task_id: 19, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2116368635222840, ref_stop_time: 2116368635322860, actual_exe_time: 100020, task_app_start_time:2116367583020641, task_sched_time:2116368635208710
app_id: 0, app_name: SAR_api-aarch64, task_id: 20, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2116368636470031, ref_stop_time: 2116368636546981, actual_exe_time: 76950, task_app_start_time:2116367583020641, task_sched_time:2116368636462561
app_id: 0, app_name: SAR_api-aarch64, task_id: 21, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2116368638770701, ref_stop_time: 2116368638898201, actual_exe_time: 127500, task_app_start_time:2116367583020641, task_sched_time:2116368638755581
app_id: 0, app_name: SAR_api-aarch64, task_id: 22, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2116368642695992, ref_stop_time: 2116368642778702, actual_exe_time: 82710, task_app_start_time:2116367583020641, task_sched_time:2116368642588592
app_id: 0, app_name: SAR_api-aarch64, task_id: 23, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2116368646564372, ref_stop_time: 2116368646688122, actual_exe_time: 123750, task_app_start_time:2116367583020641, task_sched_time:2116368646556992
app_id: 0, app_name: SAR_api-aarch64, task_id: 24, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2116368650615783, ref_stop_time: 2116368650726963, actual_exe_time: 111180, task_app_start_time:2116367583020641, task_sched_time:2116368650608793
app_id: 0, app_name: SAR_api-aarch64, task_id: 25, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2116368651263423, ref_stop_time: 2116368651364943, actual_exe_time: 101520, task_app_start_time:2116367583020641, task_sched_time:2116368651246803
app_id: 0, app_name: SAR_api-aarch64, task_id: 26, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2116368652128323, ref_stop_time: 2116368652202483, actual_exe_time: 74160, task_app_start_time:2116367583020641, task_sched_time:2116368652122443
app_id: 0, app_name: SAR_api-aarch64, task_id: 27, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2116368652682723, ref_stop_time: 2116368652807013, actual_exe_time: 124290, task_app_start_time:2116367583020641, task_sched_time:2116368652658903
app_id: 0, app_name: SAR_api-aarch64, task_id: 28, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2116368658805484, ref_stop_time: 2116368658888554, actual_exe_time: 83070, task_app_start_time:2116367583020641, task_sched_time:2116368658595004
app_id: 0, app_name: SAR_api-aarch64, task_id: 29, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2116368662531725, ref_stop_time: 2116368662653435, actual_exe_time: 121710, task_app_start_time:2116367583020641, task_sched_time:2116368662520775
app_id: 0, app_name: SAR_api-aarch64, task_id: 30, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2116368666724675, ref_stop_time: 2116368666848125, actual_exe_time: 123450, task_app_start_time:2116367583020641, task_sched_time:2116368666622105
app_id: 0, app_name: SAR_api-aarch64, task_id: 31, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2116368667801346, ref_stop_time: 2116368667911746, actual_exe_time: 110400, task_app_start_time:2116367583020641, task_sched_time:2116368667796846
app_id: 0, app_name: SAR_api-aarch64, task_id: 32, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2116368668495546, ref_stop_time: 2116368668570816, actual_exe_time: 75270, task_app_start_time:2116367583020641, task_sched_time:2116368668490266
app_id: 0, app_name: SAR_api-aarch64, task_id: 33, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2116368670828556, ref_stop_time: 2116368671420576, actual_exe_time: 592020, task_app_start_time:2116367583020641, task_sched_time:2116368670809866
app_id: 0, app_name: SAR_api-aarch64, task_id: 34, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2116368674698497, ref_stop_time: 2116368674781567, actual_exe_time: 83070, task_app_start_time:2116367583020641, task_sched_time:2116368674588847
app_id: 0, app_name: SAR_api-aarch64, task_id: 35, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2116368679579258, ref_stop_time: 2116368679701088, actual_exe_time: 121830, task_app_start_time:2116367583020641, task_sched_time:2116368679569778
app_id: 0, app_name: SAR_api-aarch64, task_id: 36, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2116368682559308, ref_stop_time: 2116368682682308, actual_exe_time: 123000, task_app_start_time:2116367583020641, task_sched_time:2116368682311328
app_id: 0, app_name: SAR_api-aarch64, task_id: 37, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2116368687196799, ref_stop_time: 2116368687302969, actual_exe_time: 106170, task_app_start_time:2116367583020641, task_sched_time:2116368686992769
app_id: 0, app_name: SAR_api-aarch64, task_id: 38, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2116368694545840, ref_stop_time: 2116368694624770, actual_exe_time: 78930, task_app_start_time:2116367583020641, task_sched_time:2116368694536750
app_id: 0, app_name: SAR_api-aarch64, task_id: 39, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2116368696917970, ref_stop_time: 2116368697058220, actual_exe_time: 140250, task_app_start_time:2116367583020641, task_sched_time:2116368696711360
app_id: 0, app_name: SAR_api-aarch64, task_id: 40, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2116368701212981, ref_stop_time: 2116368701314771, actual_exe_time: 101790, task_app_start_time:2116367583020641, task_sched_time:2116368701207611
app_id: 0, app_name: SAR_api-aarch64, task_id: 41, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2116368706589162, ref_stop_time: 2116368706713062, actual_exe_time: 123900, task_app_start_time:2116367583020641, task_sched_time:2116368706583702
app_id: 0, app_name: SAR_api-aarch64, task_id: 42, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2116368707578892, ref_stop_time: 2116368707695472, actual_exe_time: 116580, task_app_start_time:2116367583020641, task_sched_time:2116368707564672
app_id: 0, app_name: SAR_api-aarch64, task_id: 43, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2116368710343602, ref_stop_time: 2116368710443743, actual_exe_time: 100141, task_app_start_time:2116367583020641, task_sched_time:2116368708251552
app_id: 0, app_name: SAR_api-aarch64, task_id: 44, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2116368714606813, ref_stop_time: 2116368714686163, actual_exe_time: 79350, task_app_start_time:2116367583020641, task_sched_time:2116368714597153
app_id: 0, app_name: SAR_api-aarch64, task_id: 45, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2116368715471443, ref_stop_time: 2116368715593303, actual_exe_time: 121860, task_app_start_time:2116367583020641, task_sched_time:2116368715466253
