 38.7488 C 	 2120845522380557 ns 
 40.3808 C 	 2120845534333729 ns 
 39.1840 C 	 2120845546777161 ns 
 38.7177 C 	 2120845562108514 ns 
 38.0183 C 	 2120845574114155 ns 
 40.7849 C 	 2120845590329698 ns 
 39.8990 C 	 2120845602000150 ns 
 39.3705 C 	 2120845617889352 ns 
 38.5623 C 	 2120845630179814 ns 
 39.7591 C 	 2120845646200867 ns 
 40.7694 C 	 2120845662778930 ns 
 39.2617 C 	 2120845679227002 ns 
 38.0027 C 	 2120845691179604 ns 
 37.8162 C 	 2120845707116417 ns 
 39.4793 C 	 2120845719178879 ns 
 38.7488 C 	 2120845731322971 ns 
 40.0388 C 	 2120845747789493 ns 
 39.8057 C 	 2120845759959805 ns 
 39.1373 C 	 2120845771883637 ns 
 38.8576 C 	 2120845786406760 ns 
 39.2306 C 	 2120845802461922 ns 
 39.9767 C 	 2120845814376454 ns 
 40.2409 C 	 2120845826465256 ns 
 38.9197 C 	 2120845842427719 ns 
 39.7435 C 	 2120845854466121 ns 
 38.4379 C 	 2120845870487083 ns 
 37.9250 C 	 2120845882763325 ns 
 39.6347 C 	 2120845898250828 ns 
 38.8109 C 	 2120845910390360 ns 
 39.6969 C 	 2120845924204222 ns 
 39.0441 C 	 2120845940531574 ns 
 41.1113 C 	 2120845956338247 ns 
 39.2306 C 	 2120845972645290 ns 
 39.6347 C 	 2120845985142212 ns 
 38.7021 C 	 2120846001246394 ns 
 39.9456 C 	 2120846012950836 ns 
 39.4016 C 	 2120846029230459 ns 
 39.6036 C 	 2120846041454171 ns 
 39.6192 C 	 2120846053829473 ns 
 39.3705 C 	 2120846069498595 ns 
 40.0699 C 	 2120846081824637 ns 
 39.4171 C 	 2120846093946289 ns 
 38.6089 C 	 2120846110302682 ns 
 38.6400 C 	 2120846122293264 ns 
 38.7488 C 	 2120846138142866 ns 
 38.7021 C 	 2120846150617528 ns 
 38.2669 C 	 2120846162677590 ns 
 39.1529 C 	 2120846178594123 ns 
 38.4224 C 	 2120846190540035 ns 
 39.2928 C 	 2120846206514677 ns 
 38.4224 C 	 2120846218617489 ns 
 39.0752 C 	 2120846230367321 ns 
 38.7021 C 	 2120846246486474 ns 
 39.1529 C 	 2120846258491366 ns 
 39.3239 C 	 2120846274466338 ns 
 38.7488 C 	 2120846286748340 ns 
 38.6089 C 	 2120846302611473 ns 
 39.5726 C 	 2120846314494295 ns 
 40.1321 C 	 2120846330076207 ns 
 39.7124 C 	 2120846345661690 ns 
 39.7902 C 	 2120846357804672 ns 
 39.5881 C 	 2120846373864484 ns 
 38.7021 C 	 2120846385886536 ns 
 39.4016 C 	 2120846397688928 ns 
 39.2306 C 	 2120846414599631 ns 
 39.6814 C 	 2120846426404513 ns 
 38.0649 C 	 2120846438114984 ns 
 40.0544 C 	 2120846454380027 ns 
 38.7954 C 	 2120846466315019 ns 
 38.9042 C 	 2120846482161562 ns 
 38.2048 C 	 2120846494260834 ns 
 40.2098 C 	 2120846505973435 ns 
 38.5001 C 	 2120846522148718 ns 
 38.5778 C 	 2120846534317740 ns 
 40.1321 C 	 2120846546117702 ns 
 38.8109 C 	 2120846561977354 ns 
 39.2772 C 	 2120846574312966 ns 
 39.3550 C 	 2120846590134789 ns 
 39.3550 C 	 2120846602149131 ns 
 38.7799 C 	 2120846617789663 ns 
 39.3083 C 	 2120846629730535 ns 
 39.0441 C 	 2120846642156627 ns 
 38.5778 C 	 2120846658491960 ns 
 40.8005 C 	 2120846670352222 ns 
 38.7799 C 	 2120846682143784 ns 
 39.8990 C 	 2120846698160246 ns 
 38.7177 C 	 2120846710515718 ns 
 40.5518 C 	 2120846726491201 ns 
 39.2306 C 	 2120846738493513 ns 
 38.4845 C 	 2120846751011195 ns 
 36.8992 C 	 2120846767045837 ns 
 39.2151 C 	 2120846781274540 ns 
 38.7954 C 	 2120846797920852 ns 
 40.1321 C 	 2120846813907165 ns 
 39.2772 C 	 2120846832562248 ns 
 39.4482 C 	 2120846844789140 ns 
 40.2254 C 	 2120846856801052 ns 
 38.9353 C 	 2120846872231674 ns 
 39.8990 C 	 2120846886310797 ns 
 38.7332 C 	 2120846901042059 ns 
 40.9248 C 	 2120846912779321 ns 
 39.0441 C 	 2120846932583194 ns 
 39.2617 C 	 2120846945875806 ns 
 38.5778 C 	 2120846961975579 ns 
 39.8679 C 	 2120846973843611 ns 
 38.9353 C 	 2120846988704353 ns 
 38.7332 C 	 2120847000728805 ns 
 39.8212 C 	 2120847018468018 ns 
 39.8057 C 	 2120847034156970 ns 
 40.6917 C 	 2120847045813412 ns 
 38.6400 C 	 2120847061679695 ns 
 39.3394 C 	 2120847073910247 ns 
 38.8576 C 	 2120847089845319 ns 
 39.6036 C 	 2120847104767982 ns 
 39.2617 C 	 2120847120834574 ns 
 38.9664 C 	 2120847136709647 ns 
 39.7280 C 	 2120847151052949 ns 
 39.0907 C 	 2120847167131812 ns 
 39.6969 C 	 2120847181394984 ns 
 38.5778 C 	 2120847197340407 ns 
 38.9042 C 	 2120847215355500 ns 
 38.3757 C 	 2120847227028831 ns 
 39.3083 C 	 2120847239014943 ns 
 38.4068 C 	 2120847254970026 ns 
 40.3186 C 	 2120847271029779 ns 
 39.1218 C 	 2120847282779730 ns 
 39.2617 C 	 2120847298727043 ns 
 38.2359 C 	 2120847310726235 ns 
 40.2409 C 	 2120847326815358 ns 
 39.4793 C 	 2120847343058500 ns 
 39.2617 C 	 2120847355058952 ns 
 40.8626 C 	 2120847371459775 ns 
 40.8005 C 	 2120847383721527 ns 
 39.7280 C 	 2120847395719339 ns 
 40.1321 C 	 2120847411746031 ns 
 39.9922 C 	 2120847423694703 ns 
 39.6658 C 	 2120847439454516 ns 
 39.2306 C 	 2120847451332598 ns 
 38.9819 C 	 2120847467272200 ns 
 39.3239 C 	 2120847479239202 ns 
 39.7746 C 	 2120847491168314 ns 
 39.5415 C 	 2120847506944386 ns 
 38.6400 C 	 2120847518812298 ns 
 39.1529 C 	 2120847534581861 ns 
 39.0441 C 	 2120847548983093 ns 
 39.8212 C 	 2120847560923665 ns 
 40.9248 C 	 2120847576743868 ns 
 39.1063 C 	 2120847592708190 ns 
 39.8523 C 	 2120847604578922 ns 
 39.8990 C 	 2120847616238514 ns 
 40.1321 C 	 2120847632076177 ns 
 41.6398 C 	 2120847644139089 ns 
 40.1321 C 	 2120847660054871 ns 
 39.5259 C 	 2120847672038943 ns 
 41.0802 C 	 2120847683966255 ns 
 39.3083 C 	 2120847700145228 ns 
 39.7435 C 	 2120847712146100 ns 
 39.5104 C 	 2120847730102332 ns 
 38.5467 C 	 2120847742071134 ns 
 39.4482 C 	 2120847753903736 ns 
 37.1168 C 	 2120847769903699 ns 
 39.8834 C 	 2120847781821591 ns 
 39.5415 C 	 2120847793529603 ns 
 39.3550 C 	 2120847810211765 ns 
 39.1529 C 	 2120847822050817 ns 
 39.7746 C 	 2120847837741150 ns 
 37.9872 C 	 2120847849578822 ns 
 40.1321 C 	 2120847861531514 ns 
 40.1010 C 	 2120847875212596 ns 
 40.3031 C 	 2120847890177858 ns 
 39.8212 C 	 2120847906246011 ns 
 39.1840 C 	 2120847922363693 ns 
 39.7902 C 	 2120847934144665 ns 
 40.3342 C 	 2120847950086938 ns 
 39.8057 C 	 2120847961904930 ns 
 38.5156 C 	 2120847978101452 ns 
 39.0130 C 	 2120847989917254 ns 
