 39.5415 C 	 2118500178999455 ns 
 38.5623 C 	 2118500191513327 ns 
 38.7643 C 	 2118500203680189 ns 
 39.2306 C 	 2118500220044232 ns 
 38.2514 C 	 2118500231740184 ns 
 38.9664 C 	 2118500248481866 ns 
 38.3602 C 	 2118500262375529 ns 
 38.8887 C 	 2118500278900191 ns 
 39.8523 C 	 2118500290860623 ns 
 38.5001 C 	 2118500306953736 ns 
 38.6244 C 	 2118500320727818 ns 
 38.7021 C 	 2118500334831180 ns 
 37.2566 C 	 2118500348729222 ns 
 39.7591 C 	 2118500362922435 ns 
 38.6089 C 	 2118500380941788 ns 
 39.1373 C 	 2118500392958890 ns 
 38.0027 C 	 2118500404841201 ns 
 39.3239 C 	 2118500421533594 ns 
 38.4845 C 	 2118500434090876 ns 
 38.4845 C 	 2118500445929568 ns 
 38.5623 C 	 2118500461130991 ns 
 38.6244 C 	 2118500477035523 ns 
 38.9664 C 	 2118500489383555 ns 
 37.8939 C 	 2118500501664297 ns 
 37.9561 C 	 2118500516583569 ns 
 38.5312 C 	 2118500533262252 ns 
 38.6866 C 	 2118500545667554 ns 
 38.5778 C 	 2118500557567056 ns 
 38.4379 C 	 2118500575588749 ns 
 38.0493 C 	 2118500590631351 ns 
 40.6917 C 	 2118500606009534 ns 
 39.6969 C 	 2118500621866846 ns 
 39.3083 C 	 2118500638100299 ns 
 38.8576 C 	 2118500652744681 ns 
 40.1476 C 	 2118500670619944 ns 
 39.1529 C 	 2118500682714776 ns 
 38.1115 C 	 2118500698802219 ns 
 39.1684 C 	 2118500711665081 ns 
 39.5726 C 	 2118500727403833 ns 
 38.7021 C 	 2118500743641876 ns 
 37.7385 C 	 2118500758628708 ns 
 38.9042 C 	 2118500776716071 ns 
 39.9767 C 	 2118500789716993 ns 
 40.4274 C 	 2118500806220356 ns 
 38.5467 C 	 2118500820705528 ns 
 37.8317 C 	 2118500837340411 ns 
 38.5156 C 	 2118500849816003 ns 
 39.0907 C 	 2118500864257585 ns 
 39.9922 C 	 2118500880729718 ns 
 38.4845 C 	 2118500893370340 ns 
 38.5623 C 	 2118500909171703 ns 
 38.6711 C 	 2118500923475795 ns 
 39.8679 C 	 2118500941307198 ns 
 39.1218 C 	 2118500953232560 ns 
 39.0130 C 	 2118500969634942 ns 
 39.2151 C 	 2118500982127964 ns 
 37.9561 C 	 2118500993986996 ns 
 38.9975 C 	 2118501007961959 ns 
 38.5778 C 	 2118501024165591 ns 
 37.9716 C 	 2118501038525903 ns 
 38.2359 C 	 2118501050441845 ns 
 38.2048 C 	 2118501068433778 ns 
 38.5156 C 	 2118501080641410 ns 
 40.1166 C 	 2118501092633012 ns 
 38.7021 C 	 2118501108855365 ns 
 38.7488 C 	 2118501121370557 ns 
 38.0960 C 	 2118501137313189 ns 
 37.8784 C 	 2118501149582741 ns 
 38.1737 C 	 2118501161700733 ns 
 38.7177 C 	 2118501175559655 ns 
 39.2772 C 	 2118501190378068 ns 
 38.9975 C 	 2118501206515580 ns 
 38.9508 C 	 2118501221646203 ns 
 39.7746 C 	 2118501236430985 ns 
 38.7021 C 	 2118501252809998 ns 
 39.0285 C 	 2118501268806480 ns 
 38.2825 C 	 2118501280876622 ns 
 37.9094 C 	 2118501297305255 ns 
 39.8679 C 	 2118501313565438 ns 
 38.2825 C 	 2118501327458800 ns 
 40.0078 C 	 2118501339413382 ns 
 38.7488 C 	 2118501355498724 ns 
 37.8473 C 	 2118501367642966 ns 
 38.2669 C 	 2118501380163258 ns 
 38.4379 C 	 2118501395624631 ns 
 39.2306 C 	 2118501407843003 ns 
 38.8887 C 	 2118501423694285 ns 
 39.6969 C 	 2118501436156977 ns 
 39.8679 C 	 2118501452079120 ns 
 38.1892 C 	 2118501464608022 ns 
 39.3394 C 	 2118501480725375 ns 
 37.8784 C 	 2118501493369027 ns 
 38.5623 C 	 2118501505651449 ns 
 40.0544 C 	 2118501521617421 ns 
 38.4690 C 	 2118501533546713 ns 
 39.3860 C 	 2118501546004275 ns 
 39.6192 C 	 2118501559657367 ns 
 38.3136 C 	 2118501575992760 ns 
 39.4948 C 	 2118501588370582 ns 
 38.0338 C 	 2118501605610505 ns 
 38.9819 C 	 2118501617769597 ns 
 39.0130 C 	 2118501634169279 ns 
 38.5778 C 	 2118501650625092 ns 
 38.4379 C 	 2118501666969695 ns 
 37.5520 C 	 2118501679320187 ns 
 40.0388 C 	 2118501690958718 ns 
 37.9716 C 	 2118501707860271 ns 
 39.0285 C 	 2118501720317533 ns 
 38.1737 C 	 2118501732272145 ns 
 38.7643 C 	 2118501748357428 ns 
 39.1995 C 	 2118501760480250 ns 
 38.7332 C 	 2118501772460332 ns 
 37.8162 C 	 2118501787684704 ns 
 37.7074 C 	 2118501799871246 ns 
 38.7488 C 	 2118501815851349 ns 
 38.1892 C 	 2118501827761770 ns 
 39.1995 C 	 2118501843784233 ns 
 38.1115 C 	 2118501856163135 ns 
 39.1529 C 	 2118501868221967 ns 
 38.8576 C 	 2118501883517739 ns 
 38.5933 C 	 2118501895713341 ns 
 38.8420 C 	 2118501911766854 ns 
 38.1581 C 	 2118501923614456 ns 
 40.0233 C 	 2118501939324588 ns 
 38.3136 C 	 2118501955560681 ns 
 37.7074 C 	 2118501967557023 ns 
 39.2462 C 	 2118501983732156 ns 
 38.9353 C 	 2118501995844327 ns 
 38.6711 C 	 2118502011784650 ns 
 38.1426 C 	 2118502023753362 ns 
 38.2048 C 	 2118502039453865 ns 
 38.4379 C 	 2118502051703016 ns 
 39.3239 C 	 2118502063490468 ns 
 39.6192 C 	 2118502079618981 ns 
 38.2359 C 	 2118502091655733 ns 
 39.6347 C 	 2118502107267825 ns 
 39.0441 C 	 2118502119799067 ns 
 39.2151 C 	 2118502131610699 ns 
 37.6452 C 	 2118502147757842 ns 
 38.7177 C 	 2118502159778364 ns 
 40.3031 C 	 2118502175469686 ns 
 38.6400 C 	 2118502187580298 ns 
 37.4432 C 	 2118502199430840 ns 
 40.3031 C 	 2118502215598533 ns 
 40.1943 C 	 2118502227784925 ns 
 39.0285 C 	 2118502239668617 ns 
 39.1840 C 	 2118502255793949 ns 
 37.9872 C 	 2118502267701281 ns 
 38.7177 C 	 2118502283671844 ns 
 37.7385 C 	 2118502295591896 ns 
 38.4690 C 	 2118502311241968 ns 
 39.7435 C 	 2118502327376241 ns 
 38.6866 C 	 2118502339569503 ns 
 39.2617 C 	 2118502355458105 ns 
 39.3860 C 	 2118502367586327 ns 
 37.9094 C 	 2118502383771270 ns 
 39.5881 C 	 2118502395586772 ns 
 39.4482 C 	 2118502411407244 ns 
 38.7643 C 	 2118502423514946 ns 
 38.5778 C 	 2118502435226348 ns 
 38.8887 C 	 2118502451066381 ns 
 39.3394 C 	 2118502463284483 ns 
 38.4690 C 	 2118502479192945 ns 
 37.4742 C 	 2118502491222257 ns 
 39.5881 C 	 2118502503242899 ns 
 38.5001 C 	 2118502521542692 ns 
 39.7435 C 	 2118502533591834 ns 
 39.1840 C 	 2118502549209447 ns 
 39.1373 C 	 2118502565372609 ns 
 39.1995 C 	 2118502577471491 ns 
 38.9508 C 	 2118502593455224 ns 
 39.4793 C 	 2118502605287016 ns 
 39.9456 C 	 2118502621118408 ns 
 39.8679 C 	 2118502633232080 ns 
 40.0699 C 	 2118502645450002 ns 
 37.9561 C 	 2118502661638485 ns 
 38.3757 C 	 2118502673890637 ns 
 38.9508 C 	 2118502689660829 ns 
 38.3757 C 	 2118502701880671 ns 
 39.5726 C 	 2118502713641423 ns 
 38.4845 C 	 2118502729160156 ns 
 39.3083 C 	 2118502740984777 ns 
 38.4224 C 	 2118502756651410 ns 
 37.5986 C 	 2118502768529312 ns 
 39.8679 C 	 2118502784541904 ns 
 38.7643 C 	 2118502798485007 ns 
 39.3705 C 	 2118502810403919 ns 
 38.3757 C 	 2118502826451131 ns 
 38.6555 C 	 2118502838684683 ns 
 39.0441 C 	 2118502854644866 ns 
 38.0338 C 	 2118502870366218 ns 
 37.6918 C 	 2118502886334171 ns 
 39.1373 C 	 2118502898146403 ns 
 37.3499 C 	 2118502914008185 ns 
 38.5778 C 	 2118502925955117 ns 
 38.3757 C 	 2118502937938169 ns 
 38.4068 C 	 2118502953549902 ns 
 37.3499 C 	 2118502965918424 ns 
 38.3913 C 	 2118502981581366 ns 
 37.6141 C 	 2118502993716998 ns 
 38.6089 C 	 2118503005507360 ns 
 38.8265 C 	 2118503021691103 ns 
 39.3705 C 	 2118503033595495 ns 
 38.4845 C 	 2118503049422417 ns 
 39.0130 C 	 2118503061328129 ns 
 38.0183 C 	 2118503073320481 ns 
 38.4068 C 	 2118503089247573 ns 
 39.6347 C 	 2118503101513465 ns 
