 38.2980 C 	 2118875520026780 ns 
 38.7954 C 	 2118875536513162 ns 
 38.7021 C 	 2118875551508095 ns 
 38.9975 C 	 2118875566520757 ns 
 39.3239 C 	 2118875582933370 ns 
 38.7488 C 	 2118875594996312 ns 
 38.5778 C 	 2118875615298665 ns 
 39.1995 C 	 2118875629436857 ns 
 37.9561 C 	 2118875645649430 ns 
 38.4535 C 	 2118875659664052 ns 
 38.2359 C 	 2118875676335595 ns 
 38.6866 C 	 2118875688378587 ns 
 37.1634 C 	 2118875704526089 ns 
 37.5830 C 	 2118875718473632 ns 
 39.2462 C 	 2118875732228424 ns 
 38.4535 C 	 2118875750819547 ns 
 37.9561 C 	 2118875763264929 ns 
 37.8473 C 	 2118875776672111 ns 
 38.7332 C 	 2118875790010563 ns 
 38.1271 C 	 2118875807410386 ns 
 38.6244 C 	 2118875825568189 ns 
 38.8420 C 	 2118875837966891 ns 
 38.8109 C 	 2118875854039843 ns 
 39.3705 C 	 2118875866461735 ns 
 38.0804 C 	 2118875884482048 ns 
 39.0441 C 	 2118875896419770 ns 
 39.0752 C 	 2118875913015113 ns 
 37.8784 C 	 2118875929126496 ns 
 39.1995 C 	 2118875940854127 ns 
 38.3602 C 	 2118875956888620 ns 
 38.6244 C 	 2118875972933193 ns 
 37.5675 C 	 2118875984489434 ns 
 39.3860 C 	 2118876001178377 ns 
 37.6763 C 	 2118876013141269 ns 
 38.2203 C 	 2118876024722771 ns 
 37.8006 C 	 2118876042865874 ns 
 37.5053 C 	 2118876054817126 ns 
 38.0649 C 	 2118876070606218 ns 
 37.7851 C 	 2118876082550360 ns 
 38.3447 C 	 2118876094745722 ns 
 37.6297 C 	 2118876110920345 ns 
 38.8576 C 	 2118876122865087 ns 
 38.1271 C 	 2118876139707359 ns 
 39.0596 C 	 2118876152035111 ns 
 38.1115 C 	 2118876167956804 ns 
 37.2411 C 	 2118876183832027 ns 
 37.5520 C 	 2118876195901328 ns 
 37.1012 C 	 2118876212608241 ns 
 38.6555 C 	 2118876228748334 ns 
 37.3654 C 	 2118876240673276 ns 
 38.4535 C 	 2118876252774828 ns 
 39.3394 C 	 2118876268823450 ns 
 38.5778 C 	 2118876280682632 ns 
 38.1581 C 	 2118876296603095 ns 
 39.2306 C 	 2118876308915817 ns 
 38.0804 C 	 2118876320788979 ns 
 39.1529 C 	 2118876335593201 ns 
 38.7799 C 	 2118876351771214 ns 
 37.5986 C 	 2118876363859595 ns 
 38.0960 C 	 2118876375888457 ns 
 38.0183 C 	 2118876392459650 ns 
 38.1892 C 	 2118876404578962 ns 
 39.9300 C 	 2118876420309165 ns 
 39.8990 C 	 2118876432635657 ns 
 38.5778 C 	 2118876444871069 ns 
 38.2514 C 	 2118876460904661 ns 
 37.0701 C 	 2118876473114483 ns 
 37.6608 C 	 2118876488854166 ns 
 38.5156 C 	 2118876501119308 ns 
 37.7074 C 	 2118876513188160 ns 
 38.9975 C 	 2118876528726692 ns 
 38.4535 C 	 2118876540879934 ns 
 39.1373 C 	 2118876556391766 ns 
 38.1426 C 	 2118876568317758 ns 
 37.6297 C 	 2118876584154911 ns 
 37.5675 C 	 2118876596345053 ns 
 38.2980 C 	 2118876612591856 ns 
 39.0752 C 	 2118876624279467 ns 
 38.5623 C 	 2118876636732739 ns 
 37.5364 C 	 2118876653715262 ns 
 38.2048 C 	 2118876665712354 ns 
 37.8628 C 	 2118876679053146 ns 
 37.4742 C 	 2118876694862729 ns 
 37.3965 C 	 2118876706874131 ns 
 38.4224 C 	 2118876718810503 ns 
 39.0907 C 	 2118876732426095 ns 
 39.0441 C 	 2118876748027267 ns 
 37.8628 C 	 2118876764351320 ns 
 38.5001 C 	 2118876776051322 ns 
 38.9197 C 	 2118876792059234 ns 
 39.8679 C 	 2118876804224506 ns 
 38.2359 C 	 2118876816345588 ns 
 38.2048 C 	 2118876832594131 ns 
 37.9561 C 	 2118876844686893 ns 
 38.4535 C 	 2118876859447945 ns 
 39.8523 C 	 2118876875345998 ns 
 39.1063 C 	 2118876887379810 ns 
 38.4845 C 	 2118876903145892 ns 
 38.0649 C 	 2118876915253174 ns 
 38.2048 C 	 2118876931110907 ns 
 39.4171 C 	 2118876943489809 ns 
 37.7229 C 	 2118876955964801 ns 
 39.2462 C 	 2118876972853963 ns 
 38.0183 C 	 2118876984768735 ns 
 38.5001 C 	 2118877002024498 ns 
 38.9353 C 	 2118877013692070 ns 
 38.2669 C 	 2118877030386653 ns 
 38.6244 C 	 2118877042626475 ns 
 37.4121 C 	 2118877054288017 ns 
 38.4224 C 	 2118877070732039 ns 
 38.9975 C 	 2118877082588461 ns 
 37.7540 C 	 2118877098918274 ns 
 37.6763 C 	 2118877110975126 ns 
 37.0857 C 	 2118877126905368 ns 
 39.2151 C 	 2118877139099230 ns 
 38.2359 C 	 2118877150971852 ns 
 37.5520 C 	 2118877168269165 ns 
 38.2203 C 	 2118877180540157 ns 
 37.3810 C 	 2118877196443879 ns 
 38.7177 C 	 2118877212425602 ns 
 38.9975 C 	 2118877226394174 ns 
 38.0183 C 	 2118877240754097 ns 
 37.5675 C 	 2118877256578049 ns 
 39.2306 C 	 2118877268536291 ns 
 38.6866 C 	 2118877283726104 ns 
 37.7385 C 	 2118877298966466 ns 
 38.8109 C 	 2118877314809739 ns 
 38.1581 C 	 2118877332161501 ns 
 37.7540 C 	 2118877347838454 ns 
 38.2669 C 	 2118877359933826 ns 
 38.7954 C 	 2118877376220408 ns 
 37.5364 C 	 2118877388736230 ns 
 38.2048 C 	 2118877402411133 ns 
 37.5053 C 	 2118877416739195 ns 
 38.5467 C 	 2118877431917217 ns 
 38.8420 C 	 2118877446494640 ns 
 39.0752 C 	 2118877458582062 ns 
 39.2772 C 	 2118877475204494 ns 
 38.4690 C 	 2118877487353896 ns 
 38.7954 C 	 2118877500501278 ns 
 38.0027 C 	 2118877516564151 ns 
 38.7799 C 	 2118877528691653 ns 
 38.8731 C 	 2118877544945716 ns 
 39.1218 C 	 2118877556574137 ns 
 37.8628 C 	 2118877568862409 ns 
 39.1529 C 	 2118877584867142 ns 
 37.8317 C 	 2118877596782124 ns 
 38.9508 C 	 2118877612420406 ns 
 38.4845 C 	 2118877624389028 ns 
 37.5364 C 	 2118877640691331 ns 
 40.1787 C 	 2118877653141723 ns 
 38.7643 C 	 2118877668345065 ns 
 38.5778 C 	 2118877680620887 ns 
 38.1271 C 	 2118877696457500 ns 
 38.7799 C 	 2118877708350912 ns 
 39.0596 C 	 2118877724065604 ns 
 38.2825 C 	 2118877736478136 ns 
 38.2825 C 	 2118877748272878 ns 
 39.4016 C 	 2118877766693721 ns 
 37.5830 C 	 2118877779235553 ns 
 38.0493 C 	 2118877794963926 ns 
 38.5001 C 	 2118877811054218 ns 
 37.6297 C 	 2118877823018610 ns 
 39.4171 C 	 2118877836489182 ns 
 37.9405 C 	 2118877852389785 ns 
 39.0441 C 	 2118877864124587 ns 
 38.8576 C 	 2118877876260549 ns 
 38.0960 C 	 2118877893249612 ns 
 39.0752 C 	 2118877905109274 ns 
 37.5053 C 	 2118877916975745 ns 
 37.9561 C 	 2118877933087668 ns 
 38.0493 C 	 2118877944918980 ns 
 37.5830 C 	 2118877956981592 ns 
 37.7696 C 	 2118877972730454 ns 
 38.3136 C 	 2118877984402526 ns 
 38.7021 C 	 2118878000555459 ns 
 37.7540 C 	 2118878012646301 ns 
 39.1063 C 	 2118878024302953 ns 
 38.5156 C 	 2118878041092305 ns 
 37.3499 C 	 2118878053145437 ns 
 38.7021 C 	 2118878069189740 ns 
 38.9353 C 	 2118878081279802 ns 
 39.3705 C 	 2118878093045654 ns 
 39.4016 C 	 2118878108800996 ns 
 36.6816 C 	 2118878122848109 ns 
 39.4327 C 	 2118878137164891 ns 
 39.3705 C 	 2118878152683173 ns 
 37.8162 C 	 2118878165061685 ns 
 38.5623 C 	 2118878180635738 ns 
 38.7488 C 	 2118878192644230 ns 
 37.8939 C 	 2118878204805722 ns 
 38.7021 C 	 2118878220556414 ns 
 38.2203 C 	 2118878232483726 ns 
 39.5259 C 	 2118878248504509 ns 
 38.9664 C 	 2118878260695401 ns 
 39.0752 C 	 2118878272340743 ns 
 38.2825 C 	 2118878288696295 ns 
 38.2203 C 	 2118878300669537 ns 
 38.4535 C 	 2118878312333659 ns 
 39.5570 C 	 2118878328754852 ns 
 38.8420 C 	 2118878340715344 ns 
 39.0441 C 	 2118878356264496 ns 
 39.2306 C 	 2118878368318828 ns 
 38.9353 C 	 2118878380676790 ns 
 37.5986 C 	 2118878396904363 ns 
 37.6763 C 	 2118878409011585 ns 
 38.1271 C 	 2118878420550966 ns 
 38.7021 C 	 2118878437036029 ns 
 38.0027 C 	 2118878449223441 ns 
 39.3394 C 	 2118878465328194 ns 
 39.7124 C 	 2118878477299516 ns 
 38.0649 C 	 2118878489569608 ns 
 39.1063 C 	 2118878504476580 ns 
 38.2825 C 	 2118878516401762 ns 
 40.1166 C 	 2118878532211614 ns 
 39.1218 C 	 2118878544507056 ns 
 40.4740 C 	 2118878556597838 ns 
 39.4793 C 	 2118878572338121 ns 
 37.7540 C 	 2118878584365213 ns 
 37.7540 C 	 2118878601278196 ns 
 38.8731 C 	 2118878613170047 ns 
 39.6503 C 	 2118878629790530 ns 
 37.7851 C 	 2118878645498923 ns 
 38.0649 C 	 2118878657474235 ns 
 38.9664 C 	 2118878673229847 ns 
 37.7851 C 	 2118878684882749 ns 
 37.3033 C 	 2118878701147582 ns 
 37.6763 C 	 2118878713409244 ns 
 37.8628 C 	 2118878728369586 ns 
 38.7177 C 	 2118878740610968 ns 
 39.2462 C 	 2118878756446231 ns 
 38.0804 C 	 2118878768222702 ns 
 37.4742 C 	 2118878781721775 ns 
 39.2617 C 	 2118878800159058 ns 
 38.8420 C 	 2118878811972999 ns 
 39.0441 C 	 2118878828463492 ns 
 38.2980 C 	 2118878843254904 ns 
 39.8523 C 	 2118878859451277 ns 
 38.0027 C 	 2118878873347219 ns 
 37.8784 C 	 2118878888404882 ns 
 38.8731 C 	 2118878904746394 ns 
 39.0285 C 	 2118878921457567 ns 
 38.8731 C 	 2118878933444189 ns 
 36.9302 C 	 2118878945976481 ns 
 39.8057 C 	 2118878962411384 ns 
 38.4535 C 	 2118878974941156 ns 
 37.3810 C 	 2118878987694008 ns 
 37.3654 C 	 2118879003882820 ns 
 38.0960 C 	 2118879016186662 ns 
 38.6866 C 	 2118879029919315 ns 
 38.7488 C 	 2118879043937447 ns 
 39.2617 C 	 2118879061215200 ns 
 38.9353 C 	 2118879076016542 ns 
 39.0907 C 	 2118879089819064 ns 
 38.8420 C 	 2118879106211577 ns 
 38.5933 C 	 2118879121890269 ns 
 37.4742 C 	 2118879142373703 ns 
 38.6555 C 	 2118879158047115 ns 
 37.7540 C 	 2118879170567707 ns 
 38.6244 C 	 2118879186400270 ns 
 38.2048 C 	 2118879204258013 ns 
 37.8317 C 	 2118879222922006 ns 
 38.7021 C 	 2118879237635598 ns 
 38.7954 C 	 2118879253539801 ns 
 38.6089 C 	 2118879267648833 ns 
 39.7280 C 	 2118879288902156 ns 
 37.4432 C 	 2118879306306419 ns 
 39.1995 C 	 2118879322163372 ns 
 37.7696 C 	 2118879335587444 ns 
 38.6089 C 	 2118879350818506 ns 
 37.8162 C 	 2118879366546039 ns 
 37.7074 C 	 2118879385616742 ns 
 38.8576 C 	 2118879397783694 ns 
 38.2669 C 	 2118879410901136 ns 
 39.1995 C 	 2118879425750268 ns 
 38.0183 C 	 2118879439548080 ns 
 38.4224 C 	 2118879453821213 ns 
 37.8162 C 	 2118879468290935 ns 
 38.6711 C 	 2118879480520737 ns 
 40.2875 C 	 2118879495224969 ns 
 37.1323 C 	 2118879509195372 ns 
 38.5156 C 	 2118879522650164 ns 
 38.5467 C 	 2118879538875126 ns 
 38.5467 C 	 2118879551590838 ns 
 37.2566 C 	 2118879563636680 ns 
 40.1010 C 	 2118879577041043 ns 
 38.8420 C 	 2118879593774505 ns 
 38.2514 C 	 2118879608759208 ns 
 38.8420 C 	 2118879624330770 ns 
 38.0649 C 	 2118879641469053 ns 
 39.4482 C 	 2118879656800795 ns 
 38.8731 C 	 2118879669468627 ns 
 38.0027 C 	 2118879687089520 ns 
 39.1063 C 	 2118879698923862 ns 
 38.1892 C 	 2118879717468005 ns 
 38.4224 C 	 2118879729607747 ns 
 38.6555 C 	 2118879745611160 ns 
 39.7280 C 	 2118879757717872 ns 
 38.3291 C 	 2118879769809224 ns 
 39.2772 C 	 2118879785950366 ns 
 39.0130 C 	 2118879798179928 ns 
 37.3344 C 	 2118879814319541 ns 
 38.3602 C 	 2118879826510253 ns 
 38.6555 C 	 2118879838464895 ns 
 38.5467 C 	 2118879853968057 ns 
 38.7954 C 	 2118879865706819 ns 
 38.0960 C 	 2118879881479682 ns 
 37.7229 C 	 2118879893771614 ns 
 37.9872 C 	 2118879909689316 ns 
