 39.8212 C 	 2120187735709708 ns 
 39.3394 C 	 2120187747431280 ns 
 39.8990 C 	 2120187761965472 ns 
 39.5881 C 	 2120187777367565 ns 
 39.5881 C 	 2120187793335277 ns 
 38.8887 C 	 2120187812840620 ns 
 39.3550 C 	 2120187830432893 ns 
 38.8887 C 	 2120187848671576 ns 
 40.0699 C 	 2120187867510229 ns 
 38.7488 C 	 2120187883125292 ns 
 39.7435 C 	 2120187896909934 ns 
 37.8939 C 	 2120187913090496 ns 
 40.2720 C 	 2120187927946169 ns 
 41.0336 C 	 2120187945669272 ns 
 38.6711 C 	 2120187961892194 ns 
 38.2980 C 	 2120187977718847 ns 
 38.9819 C 	 2120187992722779 ns 
 39.7280 C 	 2120188010552052 ns 
 39.1529 C 	 2120188023123404 ns 
 40.1321 C 	 2120188039115567 ns 
 39.7591 C 	 2120188056339289 ns 
 40.1943 C 	 2120188068673281 ns 
 40.2720 C 	 2120188085384874 ns 
 39.5415 C 	 2120188101382077 ns 
 38.7954 C 	 2120188117566149 ns 
 41.1424 C 	 2120188130227981 ns 
 39.4793 C 	 2120188145894404 ns 
 39.6192 C 	 2120188163116627 ns 
 38.6866 C 	 2120188176365649 ns 
 39.6503 C 	 2120188188237641 ns 
 40.5673 C 	 2120188204324903 ns 
 38.3136 C 	 2120188216580475 ns 
 38.5778 C 	 2120188230392087 ns 
 39.7902 C 	 2120188246652930 ns 
 39.9611 C 	 2120188262822933 ns 
 40.3497 C 	 2120188275245635 ns 
 39.4327 C 	 2120188287931557 ns 
 38.8731 C 	 2120188303571369 ns 
 40.3031 C 	 2120188315955761 ns 
 39.8057 C 	 2120188331949004 ns 
 38.2359 C 	 2120188344458076 ns 
 39.2617 C 	 2120188358216048 ns 
 41.0181 C 	 2120188372814860 ns 
 39.2462 C 	 2120188390607143 ns 
 39.4948 C 	 2120188404630826 ns 
 39.8523 C 	 2120188418241018 ns 
 39.2772 C 	 2120188433321660 ns 
 39.8679 C 	 2120188449531833 ns 
 38.6555 C 	 2120188467122606 ns 
 39.4482 C 	 2120188478828697 ns 
 39.5104 C 	 2120188495544820 ns 
 40.6917 C 	 2120188509799712 ns 
 39.1684 C 	 2120188524331415 ns 
 39.8679 C 	 2120188536358327 ns 
 40.3808 C 	 2120188550114979 ns 
 40.2720 C 	 2120188562275841 ns 
 39.3550 C 	 2120188578147553 ns 
 39.8368 C 	 2120188590199125 ns 
 39.3705 C 	 2120188607189628 ns 
 38.9975 C 	 2120188621353290 ns 
 40.2254 C 	 2120188637088083 ns 
 40.4740 C 	 2120188653286466 ns 
 40.2564 C 	 2120188671299848 ns 
 39.4948 C 	 2120188683923610 ns 
 37.8628 C 	 2120188700351703 ns 
 40.0078 C 	 2120188712914085 ns 
 39.6347 C 	 2120188724689807 ns 
 39.8523 C 	 2120188740811780 ns 
 40.7694 C 	 2120188753112142 ns 
 39.5104 C 	 2120188766858774 ns 
 39.3705 C 	 2120188783381006 ns 
 39.9611 C 	 2120188799113999 ns 
 40.0699 C 	 2120188811405301 ns 
 38.6866 C 	 2120188827927474 ns 
 38.8420 C 	 2120188843116446 ns 
 38.5001 C 	 2120188855280068 ns 
 39.7591 C 	 2120188871156461 ns 
 41.4222 C 	 2120188887449343 ns 
 39.6658 C 	 2120188900137155 ns 
 40.1010 C 	 2120188915365968 ns 
 41.0336 C 	 2120188927424380 ns 
 38.5467 C 	 2120188942827582 ns 
 41.8418 C 	 2120188956919304 ns 
 39.8679 C 	 2120188972912937 ns 
 39.0130 C 	 2120188989171620 ns 
 40.7072 C 	 2120189005554382 ns 
 39.3550 C 	 2120189023112965 ns 
 39.9611 C 	 2120189035062267 ns 
 40.2564 C 	 2120189049528329 ns 
 39.8834 C 	 2120189064440732 ns 
 40.1787 C 	 2120189081112364 ns 
 38.9353 C 	 2120189095111387 ns 
 39.1840 C 	 2120189111285169 ns 
 39.9456 C 	 2120189123097851 ns 
 39.8057 C 	 2120189142039074 ns 
 39.1218 C 	 2120189155609576 ns 
 39.6969 C 	 2120189168147688 ns 
 40.3497 C 	 2120189184962211 ns 
 40.2875 C 	 2120189197181123 ns 
 39.1840 C 	 2120189211218605 ns 
 40.8005 C 	 2120189227590838 ns 
 38.9664 C 	 2120189239540920 ns 
 38.5312 C 	 2120189255869292 ns 
 38.7643 C 	 2120189268645965 ns 
 40.6295 C 	 2120189280635586 ns 
 40.2720 C 	 2120189297826249 ns 
 41.2046 C 	 2120189310328301 ns 
 38.3757 C 	 2120189321899633 ns 
 40.0699 C 	 2120189338620286 ns 
 39.8679 C 	 2120189355106818 ns 
 39.2151 C 	 2120189369187291 ns 
 38.8109 C 	 2120189381258183 ns 
 40.3652 C 	 2120189397636175 ns 
 40.0078 C 	 2120189410475247 ns 
 39.8368 C 	 2120189423133509 ns 
 38.4224 C 	 2120189437258502 ns 
 39.6658 C 	 2120189449585864 ns 
 40.0699 C 	 2120189464922646 ns 
 39.7591 C 	 2120189483118639 ns 
 39.3705 C 	 2120189497644131 ns 
 39.1373 C 	 2120189513233844 ns 
 40.4119 C 	 2120189526590236 ns 
 39.5726 C 	 2120189541211698 ns 
 39.4948 C 	 2120189557977621 ns 
 40.4740 C 	 2120189575616124 ns 
 40.4274 C 	 2120189589247706 ns 
 40.4274 C 	 2120189604768359 ns 
 39.4171 C 	 2120189621196331 ns 
 38.5778 C 	 2120189637426394 ns 
 39.5104 C 	 2120189651302716 ns 
