app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2119459641225184, ref_stop_time: 2119459641416824, actual_exe_time: 191640, task_app_start_time:2119459634098563, task_sched_time:2119459641220984
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2119459657656756, ref_stop_time: 2119459657770546, actual_exe_time: 113790, task_app_start_time:2119459634098563, task_sched_time:2119459645906385
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2119459661928757, ref_stop_time: 2119459661957707, actual_exe_time: 28950, task_app_start_time:2119459634098563, task_sched_time:2119459661917207
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2119459666224008, ref_stop_time: 2119459666327358, actual_exe_time: 103350, task_app_start_time:2119459634098563, task_sched_time:2119459666217078
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 4, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2119459672547109, ref_stop_time: 2119459672613439, actual_exe_time: 66330, task_app_start_time:2119459634098563, task_sched_time:2119459672406469
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 5, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2119459681831030, ref_stop_time: 2119459681867690, actual_exe_time: 36660, task_app_start_time:2119459634098563, task_sched_time:2119459681822240
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 6, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2119459682152120, ref_stop_time: 2119459682174860, actual_exe_time: 22740, task_app_start_time:2119459634098563, task_sched_time:2119459682048830
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 7, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2119459685525711, ref_stop_time: 2119459685668451, actual_exe_time: 142740, task_app_start_time:2119459634098563, task_sched_time:2119459685521541
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 8, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2119459690781802, ref_stop_time: 2119459690817562, actual_exe_time: 35760, task_app_start_time:2119459634098563, task_sched_time:2119459690763352
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 9, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2119459693868412, ref_stop_time: 2119459693900182, actual_exe_time: 31770, task_app_start_time:2119459634098563, task_sched_time:2119459693863762
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 10, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2119459697867083, ref_stop_time: 2119459697956543, actual_exe_time: 89460, task_app_start_time:2119459634098563, task_sched_time:2119459697860093
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 11, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2119459699519633, ref_stop_time: 2119459699551343, actual_exe_time: 31710, task_app_start_time:2119459634098563, task_sched_time:2119459699513843
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 12, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2119459710012825, ref_stop_time: 2119459710047085, actual_exe_time: 34260, task_app_start_time:2119459634098563, task_sched_time:2119459709909445
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 13, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2119459713020535, ref_stop_time: 2119459713048975, actual_exe_time: 28440, task_app_start_time:2119459634098563, task_sched_time:2119459713015315
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 14, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2119459714505356, ref_stop_time: 2119459714549216, actual_exe_time: 43860, task_app_start_time:2119459634098563, task_sched_time:2119459714373386
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 15, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2119459718037736, ref_stop_time: 2119459718073406, actual_exe_time: 35670, task_app_start_time:2119459634098563, task_sched_time:2119459718032456
