app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 2091870451922346, ref_stop_time: 2091870452004456, actual_exe_time: 82110, task_app_start_time:2091870396755727, task_sched_time:2091870451915686
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2091870452013996, ref_stop_time: 2091870452108316, actual_exe_time: 94320, task_app_start_time:2091870400613338, task_sched_time:2091870451996446
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2091870452055396, ref_stop_time: 2091870452143926, actual_exe_time: 88530, task_app_start_time:2091870396571647, task_sched_time:2091870452043786
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2091870452106336, ref_stop_time: 2091870452223906, actual_exe_time: 117570, task_app_start_time:2091870400206568, task_sched_time:2091870452087946
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2091870452302356, ref_stop_time: 2091870452432136, actual_exe_time: 129780, task_app_start_time:2091870399952288, task_sched_time:2091870452184246
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2091870460293098, ref_stop_time: 2091870462087128, actual_exe_time: 1794030, task_app_start_time:2091870396755727, task_sched_time:2091870460278937
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2091870465155618, ref_stop_time: 2091870465249278, actual_exe_time: 93660, task_app_start_time:2091870400418128, task_sched_time:2091870465148448
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2091870472029579, ref_stop_time: 2091870472136529, actual_exe_time: 106950, task_app_start_time:2091870395269737, task_sched_time:2091870472023099
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2091870472097349, ref_stop_time: 2091870472206549, actual_exe_time: 109200, task_app_start_time:2091870396948837, task_sched_time:2091870472075059
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2091870472214169, ref_stop_time: 2091870472321539, actual_exe_time: 107370, task_app_start_time:2091870399952288, task_sched_time:2091870472122789
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2091870472278879, ref_stop_time: 2091870472369809, actual_exe_time: 90930, task_app_start_time:2091870396316857, task_sched_time:2091870472262469
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2091870472324389, ref_stop_time: 2091870472447209, actual_exe_time: 122820, task_app_start_time:2091870400613338, task_sched_time:2091870472166769
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2091870476040280, ref_stop_time: 2091870476122690, actual_exe_time: 82410, task_app_start_time:2091870400418128, task_sched_time:2091870475933660
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2091870487968522, ref_stop_time: 2091870488067582, actual_exe_time: 99060, task_app_start_time:2091870400418128, task_sched_time:2091870487951062
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2091870488937702, ref_stop_time: 2091870489042132, actual_exe_time: 104430, task_app_start_time:2091870400613338, task_sched_time:2091870488931702
