app_id: 0, app_name: TX_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2119077473584051, ref_stop_time: 2119077473790061, actual_exe_time: 206010, task_app_start_time:2119077460028668, task_sched_time:2119077473465011
app_id: 0, app_name: TX_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2119077475361041, ref_stop_time: 2119077475721311, actual_exe_time: 360270, task_app_start_time:2119077460028668, task_sched_time:2119077475354081
app_id: 0, app_name: TX_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2119077481894712, ref_stop_time: 2119077482013752, actual_exe_time: 119040, task_app_start_time:2119077460028668, task_sched_time:2119077481785032
app_id: 0, app_name: TX_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2119077485364152, ref_stop_time: 2119077485457812, actual_exe_time: 93660, task_app_start_time:2119077460028668, task_sched_time:2119077485357312
app_id: 0, app_name: TX_api-aarch64, task_id: 4, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2119077489162783, ref_stop_time: 2119077489219633, actual_exe_time: 56850, task_app_start_time:2119077460028668, task_sched_time:2119077489020823
app_id: 0, app_name: TX_api-aarch64, task_id: 5, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2119077493536694, ref_stop_time: 2119077493568524, actual_exe_time: 31830, task_app_start_time:2119077460028668, task_sched_time:2119077493531924
app_id: 0, app_name: TX_api-aarch64, task_id: 6, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2119077501748355, ref_stop_time: 2119077501783095, actual_exe_time: 34740, task_app_start_time:2119077460028668, task_sched_time:2119077501742925
app_id: 0, app_name: TX_api-aarch64, task_id: 7, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2119077503308085, ref_stop_time: 2119077503334635, actual_exe_time: 26550, task_app_start_time:2119077460028668, task_sched_time:2119077503298815
app_id: 0, app_name: TX_api-aarch64, task_id: 8, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2119077509447436, ref_stop_time: 2119077509491836, actual_exe_time: 44400, task_app_start_time:2119077460028668, task_sched_time:2119077509441856
app_id: 0, app_name: TX_api-aarch64, task_id: 9, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2119077516879668, ref_stop_time: 2119077516926348, actual_exe_time: 46680, task_app_start_time:2119077460028668, task_sched_time:2119077516736148
app_id: 0, app_name: TX_api-aarch64, task_id: 10, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2119077549127693, ref_stop_time: 2119077549159163, actual_exe_time: 31470, task_app_start_time:2119077460028668, task_sched_time:2119077549116383
