app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2119848333138577, ref_stop_time: 2119848333359347, actual_exe_time: 220770, task_app_start_time:2119848319684985, task_sched_time:2119848333131827
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2119848337609838, ref_stop_time: 2119848337721318, actual_exe_time: 111480, task_app_start_time:2119848319684985, task_sched_time:2119848337597418
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2119848342332348, ref_stop_time: 2119848342359288, actual_exe_time: 26940, task_app_start_time:2119848319684985, task_sched_time:2119848338526548
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2119848343028979, ref_stop_time: 2119848343119129, actual_exe_time: 90150, task_app_start_time:2119848319684985, task_sched_time:2119848343023519
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 4, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2119848344383959, ref_stop_time: 2119848344432469, actual_exe_time: 48510, task_app_start_time:2119848319684985, task_sched_time:2119848344367429
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 5, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2119848345023739, ref_stop_time: 2119848345049929, actual_exe_time: 26190, task_app_start_time:2119848319684985, task_sched_time:2119848345019359
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 6, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2119848345543909, ref_stop_time: 2119848345568689, actual_exe_time: 24780, task_app_start_time:2119848319684985, task_sched_time:2119848345535029
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 7, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2119848346241019, ref_stop_time: 2119848346854339, actual_exe_time: 613320, task_app_start_time:2119848319684985, task_sched_time:2119848346234719
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 8, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2119848350504500, ref_stop_time: 2119848350537620, actual_exe_time: 33120, task_app_start_time:2119848319684985, task_sched_time:2119848350492890
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 9, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2119848351641950, ref_stop_time: 2119848351670900, actual_exe_time: 28950, task_app_start_time:2119848319684985, task_sched_time:2119848351619900
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 10, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2119848354814360, ref_stop_time: 2119848354893080, actual_exe_time: 78720, task_app_start_time:2119848319684985, task_sched_time:2119848354809650
