 37.9716 C 	 2118142356680630 ns 
 37.9872 C 	 2118142372407502 ns 
 39.0907 C 	 2118142387334545 ns 
 38.0960 C 	 2118142402253787 ns 
 37.3654 C 	 2118142416263879 ns 
 38.0649 C 	 2118142433430512 ns 
 38.1892 C 	 2118142449321005 ns 
 37.7851 C 	 2118142465667557 ns 
 38.0493 C 	 2118142480626850 ns 
 36.6660 C 	 2118142497268482 ns 
 39.1529 C 	 2118142513364115 ns 
 36.9613 C 	 2118142529891448 ns 
 39.2306 C 	 2118142546370480 ns 
 38.9042 C 	 2118142561964783 ns 
 38.9042 C 	 2118142578047965 ns 
 38.0338 C 	 2118142593300298 ns 
 38.3447 C 	 2118142609831741 ns 
 37.7385 C 	 2118142626426573 ns 
 39.7124 C 	 2118142639704665 ns 
 38.7177 C 	 2118142656437948 ns 
 37.4898 C 	 2118142668306340 ns 
 37.5053 C 	 2118142680664392 ns 
 38.4535 C 	 2118142696574445 ns 
 39.5259 C 	 2118142708646267 ns 
 38.9197 C 	 2118142723819309 ns 
 38.4224 C 	 2118142737813141 ns 
 38.5467 C 	 2118142753718544 ns 
 38.4535 C 	 2118142769751716 ns 
 38.2514 C 	 2118142782214738 ns 
 38.1737 C 	 2118142797405121 ns 
 37.8784 C 	 2118142809483693 ns 
 38.9508 C 	 2118142825825295 ns 
 38.7332 C 	 2118142838094757 ns 
 38.7332 C 	 2118142849908339 ns 
 37.6297 C 	 2118142866184812 ns 
 37.9405 C 	 2118142882046714 ns 
 40.1321 C 	 2118142900308647 ns 
 38.9664 C 	 2118142912242769 ns 
 38.3291 C 	 2118142924670421 ns 
 37.7696 C 	 2118142940459364 ns 
 38.4535 C 	 2118142955891036 ns 
 39.6192 C 	 2118142972096769 ns 
 37.9094 C 	 2118142984455391 ns 
 39.3083 C 	 2118142999101153 ns 
 38.3447 C 	 2118143014938216 ns 
 38.9197 C 	 2118143027221718 ns 
 38.3136 C 	 2118143044104460 ns 
 38.1115 C 	 2118143056296762 ns 
 38.0493 C 	 2118143072162385 ns 
 37.7074 C 	 2118143084540237 ns 
 39.6503 C 	 2118143101949210 ns 
 37.3344 C 	 2118143113909912 ns 
 38.2048 C 	 2118143126259264 ns 
 37.4898 C 	 2118143142518186 ns 
 38.8265 C 	 2118143154337318 ns 
 38.0183 C 	 2118143170580881 ns 
 38.6555 C 	 2118143182903593 ns 
 37.5675 C 	 2118143194778825 ns 
