 38.5312 C 	 2118689996164423 ns 
 38.9508 C 	 2118690010509105 ns 
 39.8990 C 	 2118690022852457 ns 
 39.0441 C 	 2118690039392600 ns 
 38.7799 C 	 2118690058951733 ns 
 39.2617 C 	 2118690074780306 ns 
 39.5570 C 	 2118690090763918 ns 
 38.5623 C 	 2118690111206701 ns 
 40.6295 C 	 2118690129169504 ns 
 38.9819 C 	 2118690141672096 ns 
 38.1271 C 	 2118690158199939 ns 
 37.9250 C 	 2118690174410442 ns 
 39.4327 C 	 2118690189369014 ns 
 38.7177 C 	 2118690205505987 ns 
 39.2151 C 	 2118690217562808 ns 
 37.8317 C 	 2118690234221631 ns 
 39.5259 C 	 2118690248255933 ns 
 37.4432 C 	 2118690262912196 ns 
 38.3913 C 	 2118690278957578 ns 
 39.0907 C 	 2118690295138291 ns 
 38.1271 C 	 2118690313959574 ns 
 38.9975 C 	 2118690326662896 ns 
 38.3913 C 	 2118690340394798 ns 
 38.6244 C 	 2118690357343001 ns 
 38.8731 C 	 2118690371783773 ns 
 38.1271 C 	 2118690388014496 ns 
 39.0907 C 	 2118690399805968 ns 
 38.0338 C 	 2118690415983860 ns 
 39.8834 C 	 2118690428287612 ns 
 38.7021 C 	 2118690441915955 ns 
 38.9975 C 	 2118690458360247 ns 
 38.0027 C 	 2118690471926969 ns 
 38.5001 C 	 2118690483885001 ns 
 37.6918 C 	 2118690501138484 ns 
 38.6244 C 	 2118690514371786 ns 
 38.2514 C 	 2118690528040298 ns 
 39.1529 C 	 2118690545518841 ns 
 40.2254 C 	 2118690557689123 ns 
 38.5312 C 	 2118690574058296 ns 
 39.0907 C 	 2118690586200978 ns 
 38.4068 C 	 2118690602585840 ns 
 38.4068 C 	 2118690619015403 ns 
 37.7074 C 	 2118690634797266 ns 
 39.0752 C 	 2118690651254038 ns 
 38.5467 C 	 2118690669320371 ns 
 38.1271 C 	 2118690681682563 ns 
 39.3705 C 	 2118690697854216 ns 
 38.7332 C 	 2118690710340428 ns 
 38.9042 C 	 2118690726119110 ns 
 39.2617 C 	 2118690738347982 ns 
 39.4948 C 	 2118690754799835 ns 
 39.0596 C 	 2118690768373367 ns 
 39.0285 C 	 2118690783046969 ns 
 40.3342 C 	 2118690801193702 ns 
 37.4742 C 	 2118690813501294 ns 
 37.9405 C 	 2118690825743696 ns 
 38.0183 C 	 2118690840556229 ns 
 37.3965 C 	 2118690857714222 ns 
 38.5778 C 	 2118690870024723 ns 
 37.6608 C 	 2118690886561446 ns 
 38.2048 C 	 2118690898573268 ns 
 39.5415 C 	 2118690910731220 ns 
 38.7954 C 	 2118690926344573 ns 
 37.9405 C 	 2118690938930655 ns 
 39.5726 C 	 2118690952164317 ns 
 38.5001 C 	 2118690967717819 ns 
 39.6347 C 	 2118690980228901 ns 
 37.0701 C 	 2118690994334483 ns 
 38.0960 C 	 2118691010511956 ns 
 38.7799 C 	 2118691022642158 ns 
 38.6244 C 	 2118691034686920 ns 
 39.0907 C 	 2118691050499653 ns 
 38.3136 C 	 2118691063066025 ns 
 38.0338 C 	 2118691079107687 ns 
 38.7021 C 	 2118691091128719 ns 
 38.7643 C 	 2118691103500841 ns 
 38.1581 C 	 2118691120703714 ns 
 38.2980 C 	 2118691132535116 ns 
 39.0441 C 	 2118691144528308 ns 
 37.8473 C 	 2118691160597810 ns 
 38.5156 C 	 2118691172396572 ns 
 40.4585 C 	 2118691184628204 ns 
 38.0338 C 	 2118691200197187 ns 
 38.0183 C 	 2118691212434189 ns 
 37.4587 C 	 2118691228085341 ns 
 38.7954 C 	 2118691240049763 ns 
 38.3757 C 	 2118691256290446 ns 
 37.8317 C 	 2118691268328038 ns 
 39.6658 C 	 2118691280216350 ns 
 38.6400 C 	 2118691296664722 ns 
 38.4690 C 	 2118691308497054 ns 
 38.0960 C 	 2118691320065866 ns 
 38.7954 C 	 2118691336318159 ns 
 38.9819 C 	 2118691348425530 ns 
 37.7074 C 	 2118691364387003 ns 
 37.3810 C 	 2118691376537215 ns 
 38.4535 C 	 2118691388448807 ns 
 38.8576 C 	 2118691404701070 ns 
 38.0804 C 	 2118691417224062 ns 
 38.9197 C 	 2118691433393974 ns 
 38.1115 C 	 2118691445461386 ns 
 39.3860 C 	 2118691461715929 ns 
 39.1684 C 	 2118691473829421 ns 
 38.7954 C 	 2118691486002493 ns 
 38.6400 C 	 2118691499135925 ns 
 38.7954 C 	 2118691516331268 ns 
 39.0441 C 	 2118691528468549 ns 
 39.1529 C 	 2118691540603821 ns 
 38.9508 C 	 2118691556820264 ns 
 37.6297 C 	 2118691569198356 ns 
 38.5467 C 	 2118691585863479 ns 
 39.0752 C 	 2118691598038591 ns 
 39.1218 C 	 2118691610196153 ns 
 38.0027 C 	 2118691626467075 ns 
 37.9716 C 	 2118691638653617 ns 
 38.9508 C 	 2118691654799530 ns 
 38.5156 C 	 2118691667231502 ns 
 39.2617 C 	 2118691679142254 ns 
 38.2669 C 	 2118691696287646 ns 
 40.3808 C 	 2118691708607598 ns 
 41.0958 C 	 2118691720796390 ns 
 38.0493 C 	 2118691736465483 ns 
 39.1995 C 	 2118691748571835 ns 
 40.0078 C 	 2118691760266287 ns 
 37.9094 C 	 2118691776430319 ns 
 39.1529 C 	 2118691788796051 ns 
 38.2514 C 	 2118691804993774 ns 
 37.8317 C 	 2118691817228556 ns 
 37.5364 C 	 2118691833270129 ns 
 38.3447 C 	 2118691845735251 ns 
 38.6711 C 	 2118691857911982 ns 
 37.9872 C 	 2118691873698495 ns 
 38.1892 C 	 2118691886133677 ns 
 38.8887 C 	 2118691902151280 ns 
 39.0907 C 	 2118691914398872 ns 
 39.6036 C 	 2118691926663984 ns 
 39.5415 C 	 2118691940535536 ns 
 38.1271 C 	 2118691956697318 ns 
 39.5104 C 	 2118691968331080 ns 
 38.8109 C 	 2118691983317703 ns 
 40.4896 C 	 2118691995643205 ns 
 38.3913 C 	 2118692012433877 ns 
 38.6089 C 	 2118692024136669 ns 
 38.7643 C 	 2118692036120771 ns 
 37.9716 C 	 2118692052250364 ns 
 38.5156 C 	 2118692064717076 ns 
 38.8731 C 	 2118692080456398 ns 
 38.0960 C 	 2118692092214390 ns 
 39.0441 C 	 2118692104693702 ns 
 39.4171 C 	 2118692120450365 ns 
 37.6608 C 	 2118692132223087 ns 
 37.5986 C 	 2118692148150839 ns 
 39.7902 C 	 2118692160692851 ns 
 38.9353 C 	 2118692176520884 ns 
 38.2203 C 	 2118692188127286 ns 
 37.7385 C 	 2118692200579658 ns 
 38.8731 C 	 2118692216218720 ns 
 38.7643 C 	 2118692228311212 ns 
 37.8473 C 	 2118692244352425 ns 
 38.5001 C 	 2118692256203297 ns 
 38.3136 C 	 2118692268776119 ns 
 38.9042 C 	 2118692284529931 ns 
 39.4638 C 	 2118692296309913 ns 
 38.4379 C 	 2118692312398016 ns 
 37.8628 C 	 2118692327870788 ns 
 37.9872 C 	 2118692339776080 ns 
 39.3860 C 	 2118692355941673 ns 
 38.3136 C 	 2118692368273115 ns 
 37.8939 C 	 2118692384259637 ns 
 38.7021 C 	 2118692396023419 ns 
 38.7643 C 	 2118692412057792 ns 
 38.6866 C 	 2118692424139244 ns 
 38.4690 C 	 2118692436313036 ns 
 38.9819 C 	 2118692452620768 ns 
 38.4690 C 	 2118692464328630 ns 
 39.4327 C 	 2118692476401262 ns 
 38.3447 C 	 2118692492808415 ns 
 39.4171 C 	 2118692504433537 ns 
 38.5156 C 	 2118692521510259 ns 
 38.4845 C 	 2118692533297711 ns 
 39.1063 C 	 2118692549692264 ns 
 39.0441 C 	 2118692562039036 ns 
 39.0752 C 	 2118692573882798 ns 
 38.7954 C 	 2118692590031350 ns 
 37.7229 C 	 2118692602355322 ns 
 39.1529 C 	 2118692614660754 ns 
 37.0390 C 	 2118692628090016 ns 
 37.6452 C 	 2118692644126909 ns 
 37.5675 C 	 2118692656250361 ns 
 38.1426 C 	 2118692672326074 ns 
 38.0183 C 	 2118692684302525 ns 
 40.5051 C 	 2118692696591067 ns 
 38.5778 C 	 2118692712367260 ns 
 39.2151 C 	 2118692724462662 ns 
 38.0960 C 	 2118692740287634 ns 
 39.0130 C 	 2118692752252926 ns 
 39.7591 C 	 2118692764317938 ns 
 37.9561 C 	 2118692780902871 ns 
 38.7177 C 	 2118692792831203 ns 
 38.3291 C 	 2118692809865986 ns 
 38.8731 C 	 2118692823802608 ns 
 38.5933 C 	 2118692839796810 ns 
 37.7696 C 	 2118692852055082 ns 
 39.8990 C 	 2118692868248785 ns 
 37.4742 C 	 2118692882286417 ns 
 39.0752 C 	 2118692894341199 ns 
 38.3291 C 	 2118692910203552 ns 
 39.2462 C 	 2118692922372334 ns 
 37.3499 C 	 2118692936221326 ns 
 38.1892 C 	 2118692952130779 ns 
 38.0027 C 	 2118692963988220 ns 
 39.0596 C 	 2118692981607193 ns 
 37.9405 C 	 2118692993479695 ns 
 39.0907 C 	 2118693005420627 ns 
 37.8784 C 	 2118693019903609 ns 
 39.8368 C 	 2118693032010381 ns 
 38.9664 C 	 2118693046893444 ns 
 38.4068 C 	 2118693062901836 ns 
 38.8265 C 	 2118693079252079 ns 
 38.8731 C 	 2118693098126912 ns 
 39.1995 C 	 2118693114350465 ns 
 39.0752 C 	 2118693137381978 ns 
 37.2566 C 	 2118693154804451 ns 
 38.0649 C 	 2118693173262254 ns 
 39.1218 C 	 2118693188567417 ns 
 40.0544 C 	 2118693203368969 ns 
 38.8576 C 	 2118693219743992 ns 
 39.2928 C 	 2118693232499934 ns 
 38.6244 C 	 2118693245027636 ns 
 38.4690 C 	 2118693258995668 ns 
 38.1426 C 	 2118693274006320 ns 
 38.5001 C 	 2118693292850973 ns 
 38.1271 C 	 2118693305355365 ns 
 38.7954 C 	 2118693317618827 ns 
 40.3497 C 	 2118693331818130 ns 
 37.3344 C 	 2118693347368902 ns 
 38.3447 C 	 2118693361206884 ns 
 37.6297 C 	 2118693377242127 ns 
 38.4690 C 	 2118693389868559 ns 
 37.9094 C 	 2118693407507122 ns 
 38.8109 C 	 2118693428848165 ns 
 38.8887 C 	 2118693441182157 ns 
 38.5778 C 	 2118693460900320 ns 
 39.3550 C 	 2118693478278663 ns 
 37.8473 C 	 2118693494500686 ns 
 39.6036 C 	 2118693512029959 ns 
 37.8628 C 	 2118693528416411 ns 
 38.9042 C 	 2118693540920353 ns 
 38.3602 C 	 2118693556487446 ns 
 37.8939 C 	 2118693571194708 ns 
 39.2772 C 	 2118693586200081 ns 
 38.2203 C 	 2118693602519183 ns 
 39.0907 C 	 2118693620443676 ns 
 37.7074 C 	 2118693635892329 ns 
 38.3757 C 	 2118693651247081 ns 
 38.5778 C 	 2118693671501944 ns 
 39.3239 C 	 2118693692179988 ns 
 38.2825 C 	 2118693707925790 ns 
 38.3447 C 	 2118693722829763 ns 
 39.6192 C 	 2118693744901216 ns 
 38.0338 C 	 2118693761152279 ns 
 38.7177 C 	 2118693779135482 ns 
 38.3291 C 	 2118693795181944 ns 
 38.1115 C 	 2118693812106837 ns 
 38.1115 C 	 2118693831479250 ns 
 38.4068 C 	 2118693846824493 ns 
 37.8784 C 	 2118693863153045 ns 
 38.6089 C 	 2118693874968037 ns 
 38.8109 C 	 2118693891139000 ns 
 38.0027 C 	 2118693903968022 ns 
 38.6089 C 	 2118693920030084 ns 
 38.1737 C 	 2118693932236576 ns 
 38.1892 C 	 2118693949148719 ns 
 40.3342 C 	 2118693963360261 ns 
 38.7177 C 	 2118693978434874 ns 
 38.1581 C 	 2118693994440236 ns 
 38.0649 C 	 2118694010741639 ns 
 39.2462 C 	 2118694024129861 ns 
 38.1581 C 	 2118694038920943 ns 
 37.7385 C 	 2118694054764606 ns 
 40.0544 C 	 2118694073850249 ns 
 38.5001 C 	 2118694090052622 ns 
 39.1995 C 	 2118694101749054 ns 
 38.6711 C 	 2118694119301426 ns 
 39.8679 C 	 2118694137538129 ns 
 38.9819 C 	 2118694152529162 ns 
 39.4016 C 	 2118694166950194 ns 
 38.0493 C 	 2118694181126126 ns 
 39.4948 C 	 2118694197168389 ns 
 38.1737 C 	 2118694211657131 ns 
 38.7488 C 	 2118694227326254 ns 
 38.5778 C 	 2118694245373357 ns 
 38.1426 C 	 2118694261736859 ns 
 38.2048 C 	 2118694273793861 ns 
 39.8679 C 	 2118694289808404 ns 
 38.3757 C 	 2118694304454946 ns 
 39.6036 C 	 2118694316439828 ns 
 39.2772 C 	 2118694334430141 ns 
 38.2669 C 	 2118694350539184 ns 
 39.2772 C 	 2118694366529336 ns 
 38.0183 C 	 2118694379946298 ns 
 37.6297 C 	 2118694395780961 ns 
 38.2203 C 	 2118694412495134 ns 
 39.3550 C 	 2118694426988106 ns 
 38.0027 C 	 2118694443071349 ns 
 40.4896 C 	 2118694459164761 ns 
