 42.1216 C 	 2088398943426918 ns 
 42.2304 C 	 2088398958082910 ns 
 40.8471 C 	 2088398973039832 ns 
 42.5413 C 	 2088398985071994 ns 
 42.6656 C 	 2088398997126146 ns 
 42.7744 C 	 2088399012671189 ns 
 41.3289 C 	 2088399028918681 ns 
 43.0697 C 	 2088399043443094 ns 
 41.5776 C 	 2088399055019826 ns 
 41.7175 C 	 2088399071910638 ns 
 42.3237 C 	 2088399085087450 ns 
 43.1630 C 	 2088399101172733 ns 
 41.7019 C 	 2088399112834005 ns 
 42.2615 C 	 2088399128516777 ns 
 41.8729 C 	 2088399144762440 ns 
 41.9506 C 	 2088399157392352 ns 
 42.0439 C 	 2088399173007535 ns 
 41.0491 C 	 2088399185156846 ns 
 42.2615 C 	 2088399196859938 ns 
 42.0439 C 	 2088399213213391 ns 
 42.2149 C 	 2088399225200343 ns 
 42.6034 C 	 2088399239540645 ns 
 42.2149 C 	 2088399254260838 ns 
 42.6967 C 	 2088399270226480 ns 
 43.2873 C 	 2088399282689262 ns 
 42.1993 C 	 2088399298161315 ns 
 42.9609 C 	 2088399311427707 ns 
 42.1372 C 	 2088399325387339 ns 
 42.4169 C 	 2088399341035102 ns 
 43.0697 C 	 2088399356990394 ns 
 41.8885 C 	 2088399369136376 ns 
 43.8003 C 	 2088399385047869 ns 
 41.5776 C 	 2088399396868021 ns 
 43.0697 C 	 2088399409228923 ns 
 41.3600 C 	 2088399424375955 ns 
 43.3495 C 	 2088399438296707 ns 
 41.9817 C 	 2088399454443670 ns 
 41.3289 C 	 2088399466524912 ns 
 42.3237 C 	 2088399479758544 ns 
 41.7641 C 	 2088399495615496 ns 
 41.2512 C 	 2088399509626039 ns 
 40.3186 C 	 2088399524624421 ns 
 40.8782 C 	 2088399536149943 ns 
 42.0594 C 	 2088399550141735 ns 
 43.0853 C 	 2088399564523858 ns 
 43.1630 C 	 2088399575756759 ns 
 43.8780 C 	 2088399589704032 ns 
 42.3703 C 	 2088399605875864 ns 
 41.9973 C 	 2088399619373946 ns 
 41.8885 C 	 2088399635398119 ns 
 42.3858 C 	 2088399648381311 ns 
 42.3548 C 	 2088399664798634 ns 
 41.9196 C 	 2088399676251585 ns 
 43.3340 C 	 2088399692143908 ns 
 42.1682 C 	 2088399703594610 ns 
 42.1993 C 	 2088399721366793 ns 
 42.0594 C 	 2088399733612165 ns 
 43.4428 C 	 2088399749126247 ns 
 42.8521 C 	 2088399763858260 ns 
 41.9351 C 	 2088399779756102 ns 
 42.1527 C 	 2088399791663674 ns 
 43.0542 C 	 2088399807870967 ns 
 43.3495 C 	 2088399824930049 ns 
 42.4946 C 	 2088399836613161 ns 
 42.4325 C 	 2088399848017003 ns 
 43.5205 C 	 2088399863843326 ns 
 41.7175 C 	 2088399875771778 ns 
 41.5931 C 	 2088399892081880 ns 
 41.6709 C 	 2088399906436373 ns 
 42.2304 C 	 2088399922390885 ns 
 41.9662 C 	 2088399937972828 ns 
 43.3184 C 	 2088399953691270 ns 
 42.8366 C 	 2088399965226272 ns 
 41.7175 C 	 2088399976686814 ns 
 42.1372 C 	 2088399992405226 ns 
 43.6604 C 	 2088400003783238 ns 
 42.3703 C 	 2088400015717750 ns 
 41.8574 C 	 2088400031320333 ns 
 40.5984 C 	 2088400042727414 ns 
 42.6812 C 	 2088400054567186 ns 
 43.0853 C 	 2088400067690388 ns 
 42.7589 C 	 2088400082093781 ns 
 41.9817 C 	 2088400097977883 ns 
 41.9662 C 	 2088400113589556 ns 
 42.9298 C 	 2088400129248118 ns 
 41.9040 C 	 2088400144732231 ns 
 43.0076 C 	 2088400160334483 ns 
 42.6501 C 	 2088400173142955 ns 
 42.3081 C 	 2088400189340468 ns 
 41.9351 C 	 2088400205114651 ns 
 41.6087 C 	 2088400219476043 ns 
 42.7744 C 	 2088400231364265 ns 
 42.7278 C 	 2088400246921757 ns 
 41.9817 C 	 2088400258238209 ns 
 42.1527 C 	 2088400271779431 ns 
 41.9506 C 	 2088400286548464 ns 
 41.8885 C 	 2088400309168227 ns 
 42.8832 C 	 2088400327676880 ns 
 42.4946 C 	 2088400347673144 ns 
 41.7952 C 	 2088400363008426 ns 
 40.8471 C 	 2088400376501078 ns 
 42.7589 C 	 2088400391921981 ns 
 42.3858 C 	 2088400406442763 ns 
 42.9454 C 	 2088400420334505 ns 
 43.0542 C 	 2088400433575247 ns 
 42.4014 C 	 2088400447056980 ns 
 42.6345 C 	 2088400461027742 ns 
 43.0076 C 	 2088400474549074 ns 
 42.5879 C 	 2088400488050876 ns 
 41.3911 C 	 2088400502301388 ns 
 43.1008 C 	 2088400516007461 ns 
 41.4377 C 	 2088400529479773 ns 
 41.2978 C 	 2088400542606605 ns 
 41.9817 C 	 2088400555678837 ns 
 42.9143 C 	 2088400569340959 ns 
 41.6553 C 	 2088400583022731 ns 
 42.6034 C 	 2088400597202234 ns 
 42.5879 C 	 2088400610662636 ns 
 40.4740 C 	 2088400624098348 ns 
 42.2926 C 	 2088400638040460 ns 
 40.9559 C 	 2088400651516942 ns 
 42.8677 C 	 2088400665355465 ns 
 42.0750 C 	 2088400679216037 ns 
 41.9817 C 	 2088400696185210 ns 
 43.2407 C 	 2088400708073402 ns 
 42.2460 C 	 2088400719975693 ns 
 41.1269 C 	 2088400735908636 ns 
 41.6087 C 	 2088400747440188 ns 
 42.6967 C 	 2088400759019500 ns 
 41.5154 C 	 2088400774327032 ns 
 43.3961 C 	 2088400786014764 ns 
 40.6295 C 	 2088400801499297 ns 
 42.8988 C 	 2088400813372998 ns 
 43.1941 C 	 2088400824675530 ns 
 42.1527 C 	 2088400840344053 ns 
 42.5568 C 	 2088400852013605 ns 
 41.4377 C 	 2088400863761757 ns 
 42.4014 C 	 2088400879108109 ns 
 42.0905 C 	 2088400890441601 ns 
 42.0750 C 	 2088400906011183 ns 
