app_id: 0, app_name: TX_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2124935679389726, ref_stop_time: 2124935679640406, actual_exe_time: 250680, task_app_start_time:2124935676924206, task_sched_time:2124935679376046
app_id: 0, app_name: TX_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2124935688557158, ref_stop_time: 2124935688675928, actual_exe_time: 118770, task_app_start_time:2124935676924206, task_sched_time:2124935688549988
app_id: 0, app_name: TX_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2124935692299928, ref_stop_time: 2124935692430518, actual_exe_time: 130590, task_app_start_time:2124935676924206, task_sched_time:2124935692232098
app_id: 0, app_name: TX_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2124935693583989, ref_stop_time: 2124935693685419, actual_exe_time: 101430, task_app_start_time:2124935676924206, task_sched_time:2124935693570279
app_id: 0, app_name: TX_api-aarch64, task_id: 4, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2124935700573210, ref_stop_time: 2124935700640050, actual_exe_time: 66840, task_app_start_time:2124935676924206, task_sched_time:2124935700563070
app_id: 0, app_name: TX_api-aarch64, task_id: 5, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2124935704704390, ref_stop_time: 2124935704795950, actual_exe_time: 91560, task_app_start_time:2124935676924206, task_sched_time:2124935704690050
app_id: 0, app_name: TX_api-aarch64, task_id: 6, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2124935707351141, ref_stop_time: 2124935707380271, actual_exe_time: 29130, task_app_start_time:2124935676924206, task_sched_time:2124935707344631
app_id: 0, app_name: TX_api-aarch64, task_id: 7, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2124935708345341, ref_stop_time: 2124935708405671, actual_exe_time: 60330, task_app_start_time:2124935676924206, task_sched_time:2124935708341711
app_id: 0, app_name: TX_api-aarch64, task_id: 8, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2124935720486943, ref_stop_time: 2124935720535753, actual_exe_time: 48810, task_app_start_time:2124935676924206, task_sched_time:2124935720470773
app_id: 0, app_name: TX_api-aarch64, task_id: 9, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2124935721910323, ref_stop_time: 2124935721950793, actual_exe_time: 40470, task_app_start_time:2124935676924206, task_sched_time:2124935721904413
app_id: 0, app_name: TX_api-aarch64, task_id: 10, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2124935752525508, ref_stop_time: 2124935752562048, actual_exe_time: 36540, task_app_start_time:2124935676924206, task_sched_time:2124935752513838
