 37.2100 C 	 2117225597451833 ns 
 38.4535 C 	 2117225609823565 ns 
 37.2722 C 	 2117225621418297 ns 
 38.3447 C 	 2117225637970410 ns 
 39.0285 C 	 2117225650023452 ns 
 39.2306 C 	 2117225666543945 ns 
 37.5986 C 	 2117225680065187 ns 
 38.0804 C 	 2117225696090709 ns 
 37.6918 C 	 2117225708253041 ns 
 38.3757 C 	 2117225722744454 ns 
 38.0804 C 	 2117225738503186 ns 
 37.8473 C 	 2117225755640149 ns 
 38.7021 C 	 2117225768056911 ns 
 38.9508 C 	 2117225782182563 ns 
 38.6555 C 	 2117225797258196 ns 
 38.1426 C 	 2117225809390318 ns 
 38.2980 C 	 2117225824889760 ns 
 37.8317 C 	 2117225841006993 ns 
 37.7696 C 	 2117225856914465 ns 
 38.3291 C 	 2117225869506577 ns 
 38.5156 C 	 2117225887121110 ns 
 37.8939 C 	 2117225901774642 ns 
 38.6089 C 	 2117225916822435 ns 
 38.7954 C 	 2117225933411808 ns 
 36.4173 C 	 2117225949228440 ns 
 39.1995 C 	 2117225965255553 ns 
 37.9561 C 	 2117225981096785 ns 
 38.5001 C 	 2117225999484178 ns 
 37.7851 C 	 2117226015743341 ns 
 37.6141 C 	 2117226028572633 ns 
 38.5001 C 	 2117226044142005 ns 
 38.4690 C 	 2117226057017347 ns 
 39.0752 C 	 2117226069932620 ns 
 37.9094 C 	 2117226083897592 ns 
 39.1529 C 	 2117226100090694 ns 
 39.3394 C 	 2117226112265686 ns 
 38.2359 C 	 2117226126529099 ns 
 37.9405 C 	 2117226141353181 ns 
 38.1271 C 	 2117226159449094 ns 
 38.0027 C 	 2117226171488486 ns 
 38.0804 C 	 2117226183249328 ns 
 38.0338 C 	 2117226199277880 ns 
 37.9094 C 	 2117226211848212 ns 
 37.5520 C 	 2117226228132095 ns 
 37.6918 C 	 2117226240346657 ns 
 39.4482 C 	 2117226252125859 ns 
 38.9975 C 	 2117226267938291 ns 
 38.1115 C 	 2117226280157653 ns 
 37.5830 C 	 2117226296447626 ns 
 38.8265 C 	 2117226308473038 ns 
 38.5778 C 	 2117226320489690 ns 
 39.0285 C 	 2117226334210072 ns 
 38.1271 C 	 2117226346556304 ns 
 38.8109 C 	 2117226362474877 ns 
 39.0285 C 	 2117226379381199 ns 
 38.5933 C 	 2117226391407931 ns 
 38.5312 C 	 2117226404255043 ns 
 38.9508 C 	 2117226418889916 ns 
 38.6711 C 	 2117226435201488 ns 
 37.6918 C 	 2117226447207400 ns 
 38.8731 C 	 2117226461405173 ns 
 37.6918 C 	 2117226477847875 ns 
 38.0804 C 	 2117226489868967 ns 
 38.6711 C 	 2117226506331290 ns 
 39.8834 C 	 2117226519924472 ns 
 37.9716 C 	 2117226535986895 ns 
 39.6814 C 	 2117226552217827 ns 
 37.8162 C 	 2117226563925899 ns 
 37.9716 C 	 2117226580643282 ns 
 38.7332 C 	 2117226593786764 ns 
 38.4535 C 	 2117226605688726 ns 
 39.0596 C 	 2117226621725168 ns 
 38.2980 C 	 2117226634048570 ns 
 39.0596 C 	 2117226646052202 ns 
 37.9405 C 	 2117226661915305 ns 
 39.0285 C 	 2117226674374937 ns 
 40.1166 C 	 2117226691517120 ns 
 39.4016 C 	 2117226703477431 ns 
 36.9458 C 	 2117226715445783 ns 
 38.6866 C 	 2117226729446636 ns 
 36.7748 C 	 2117226745440328 ns 
 38.0649 C 	 2117226757340130 ns 
 39.5570 C 	 2117226773400813 ns 
 38.4845 C 	 2117226785390375 ns 
 37.8317 C 	 2117226798325837 ns 
 37.8317 C 	 2117226813946989 ns 
 38.0338 C 	 2117226826142171 ns 
 38.8887 C 	 2117226839327653 ns 
 37.8473 C 	 2117226853289086 ns 
 37.8006 C 	 2117226871021068 ns 
 37.3344 C 	 2117226882830270 ns 
 38.3602 C 	 2117226898615703 ns 
 38.0960 C 	 2117226911323675 ns 
 38.1581 C 	 2117226927343378 ns 
 38.0338 C 	 2117226941610390 ns 
 37.5675 C 	 2117226957237932 ns 
 38.9508 C 	 2117226974023355 ns 
 39.6192 C 	 2117226989901158 ns 
 37.2256 C 	 2117227001784549 ns 
 41.0336 C 	 2117227018089672 ns 
 38.9042 C 	 2117227032237764 ns 
 37.5209 C 	 2117227047332987 ns 
 38.5778 C 	 2117227059517549 ns 
 38.1737 C 	 2117227075493871 ns 
 37.5053 C 	 2117227091409444 ns 
 38.2048 C 	 2117227103600186 ns 
 38.6555 C 	 2117227119723088 ns 
 38.3602 C 	 2117227135791961 ns 
 36.6349 C 	 2117227148252523 ns 
 38.1115 C 	 2117227164066576 ns 
 38.1271 C 	 2117227175883308 ns 
 37.7229 C 	 2117227192144180 ns 
 38.8265 C 	 2117227203950472 ns 
 37.3033 C 	 2117227219863585 ns 
 37.4276 C 	 2117227232216417 ns 
 39.0907 C 	 2117227247309779 ns 
 37.9094 C 	 2117227261418511 ns 
 38.4690 C 	 2117227276832694 ns 
 36.8214 C 	 2117227293081626 ns 
 38.2669 C 	 2117227306025878 ns 
 39.1995 C 	 2117227322167171 ns 
 39.5570 C 	 2117227336680183 ns 
 37.8006 C 	 2117227348683245 ns 
 37.6608 C 	 2117227362606398 ns 
 37.2877 C 	 2117227375579930 ns 
 38.0027 C 	 2117227391352762 ns 
 37.5209 C 	 2117227407229305 ns 
 37.9250 C 	 2117227419629897 ns 
 38.1271 C 	 2117227435021699 ns 
 38.6711 C 	 2117227449227962 ns 
 37.2256 C 	 2117227467362094 ns 
 37.2877 C 	 2117227482626787 ns 
 38.2514 C 	 2117227495715219 ns 
 37.4898 C 	 2117227507552651 ns 
 39.2151 C 	 2117227523308473 ns 
 40.1476 C 	 2117227537481166 ns 
 38.8420 C 	 2117227551302138 ns 
 38.7954 C 	 2117227567011340 ns 
 37.7229 C 	 2117227583136073 ns 
 38.5156 C 	 2117227599793456 ns 
 36.4329 C 	 2117227612448688 ns 
 38.7799 C 	 2117227627738220 ns 
 39.0441 C 	 2117227645132433 ns 
 38.5933 C 	 2117227661058146 ns 
 38.5623 C 	 2117227672956178 ns 
 38.7643 C 	 2117227691878291 ns 
 39.1684 C 	 2117227703800322 ns 
 38.0183 C 	 2117227719466925 ns 
 37.9872 C 	 2117227732984057 ns 
 38.4068 C 	 2117227748816110 ns 
 38.7488 C 	 2117227762418202 ns 
 38.8576 C 	 2117227777236764 ns 
 38.3913 C 	 2117227792868657 ns 
 38.1271 C 	 2117227809436159 ns 
 38.7021 C 	 2117227827362182 ns 
 37.1634 C 	 2117227839135954 ns 
 37.3810 C 	 2117227850775206 ns 
 38.1581 C 	 2117227863435628 ns 
 38.6400 C 	 2117227883321071 ns 
 38.5467 C 	 2117227897567594 ns 
 38.9042 C 	 2117227909214256 ns 
 37.3810 C 	 2117227925306168 ns 
 37.5520 C 	 2117227939668070 ns 
 37.3499 C 	 2117227955728303 ns 
 39.1840 C 	 2117227967509425 ns 
 37.9405 C 	 2117227983612258 ns 
 38.1737 C 	 2117227995733999 ns 
 39.4482 C 	 2117228011820332 ns 
 37.6763 C 	 2117228023723284 ns 
 38.4690 C 	 2117228035319336 ns 
 39.4948 C 	 2117228049284998 ns 
 37.8162 C 	 2117228065308511 ns 
 38.5001 C 	 2117228077398753 ns 
 38.2669 C 	 2117228093606585 ns 
 38.5467 C 	 2117228105704987 ns 
 38.5467 C 	 2117228119334319 ns 
 37.6918 C 	 2117228133381132 ns 
 38.2669 C 	 2117228149013114 ns 
 40.0078 C 	 2117228165392007 ns 
 37.0701 C 	 2117228180885209 ns 
 37.7540 C 	 2117228198142742 ns 
 37.1945 C 	 2117228215306255 ns 
 38.1581 C 	 2117228227504227 ns 
 38.3757 C 	 2117228241417179 ns 
 36.7437 C 	 2117228256743701 ns 
 38.4690 C 	 2117228269258773 ns 
 37.9094 C 	 2117228284949676 ns 
 38.5933 C 	 2117228297801948 ns 
 39.5570 C 	 2117228313944711 ns 
 38.9508 C 	 2117228325954283 ns 
 39.3239 C 	 2117228341935285 ns 
 38.4068 C 	 2117228353764107 ns 
 38.4379 C 	 2117228365737469 ns 
 39.3083 C 	 2117228384343562 ns 
 39.0596 C 	 2117228396337054 ns 
 39.1529 C 	 2117228411293586 ns 
 38.1271 C 	 2117228423333038 ns 
 39.1373 C 	 2117228440257001 ns 
 39.1840 C 	 2117228452500123 ns 
 39.3394 C 	 2117228468233085 ns 
 36.8836 C 	 2117228480156377 ns 
 38.5156 C 	 2117228496828370 ns 
 37.5209 C 	 2117228513090713 ns 
