app_id: 25, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400516141201, ref_stop_time: 2088400516227331, actual_exe_time: 86130, task_app_start_time:2088400433652017, task_sched_time:2088400516132171
app_id: 26, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400520653081, ref_stop_time: 2088400520756851, actual_exe_time: 103770, task_app_start_time:2088400444629829, task_sched_time:2088400520594011
app_id: 29, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400524603482, ref_stop_time: 2088400528954743, actual_exe_time: 4351261, task_app_start_time:2088400460179492, task_sched_time:2088400524593942
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400529288223, ref_stop_time: 2088400530292833, actual_exe_time: 1004610, task_app_start_time:2088400335710342, task_sched_time:2088400529275353
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400532591823, ref_stop_time: 2088400532661513, actual_exe_time: 69690, task_app_start_time:2088400336624862, task_sched_time:2088400532581773
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400540919135, ref_stop_time: 2088400541011985, actual_exe_time: 92850, task_app_start_time:2088400337362442, task_sched_time:2088400540905455
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400540963595, ref_stop_time: 2088400541056775, actual_exe_time: 93180, task_app_start_time:2088400360694256, task_sched_time:2088400540956335
app_id: 8, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400541012705, ref_stop_time: 2088400541099225, actual_exe_time: 86520, task_app_start_time:2088400354307705, task_sched_time:2088400541000915
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400541048975, ref_stop_time: 2088400541119895, actual_exe_time: 70920, task_app_start_time:2088400347764944, task_sched_time:2088400541045525
app_id: 29, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400541333945, ref_stop_time: 2088400541396585, actual_exe_time: 62640, task_app_start_time:2088400460179492, task_sched_time:2088400541092115
app_id: 11, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400542424265, ref_stop_time: 2088400542513995, actual_exe_time: 89730, task_app_start_time:2088400361638836, task_sched_time:2088400542412925
app_id: 7, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400542687965, ref_stop_time: 2088400542793925, actual_exe_time: 105960, task_app_start_time:2088400354058105, task_sched_time:2088400542678125
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400548559446, ref_stop_time: 2088400548674586, actual_exe_time: 115140, task_app_start_time:2088400353595775, task_sched_time:2088400548552306
app_id: 10, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400549110606, ref_stop_time: 2088400549175706, actual_exe_time: 65100, task_app_start_time:2088400361318166, task_sched_time:2088400549103076
app_id: 12, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400549188786, ref_stop_time: 2088400549254966, actual_exe_time: 66180, task_app_start_time:2088400375452758, task_sched_time:2088400549179486
app_id: 5, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400549328766, ref_stop_time: 2088400549417716, actual_exe_time: 88950, task_app_start_time:2088400353317134, task_sched_time:2088400549324086
app_id: 16, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400549448616, ref_stop_time: 2088400549534476, actual_exe_time: 85860, task_app_start_time:2088400385172280, task_sched_time:2088400549369296
app_id: 13, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400549664436, ref_stop_time: 2088400549752276, actual_exe_time: 87840, task_app_start_time:2088400376570198, task_sched_time:2088400549629696
app_id: 17, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400550391426, ref_stop_time: 2088400550458086, actual_exe_time: 66660, task_app_start_time:2088400385739760, task_sched_time:2088400550387016
app_id: 18, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400552790167, ref_stop_time: 2088400552858867, actual_exe_time: 68700, task_app_start_time:2088400388667760, task_sched_time:2088400552781107
app_id: 21, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400555027477, ref_stop_time: 2088400555116277, actual_exe_time: 88800, task_app_start_time:2088400400964102, task_sched_time:2088400555019287
app_id: 14, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400555083067, ref_stop_time: 2088400555172947, actual_exe_time: 89880, task_app_start_time:2088400380883989, task_sched_time:2088400555076887
app_id: 19, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400555128577, ref_stop_time: 2088400555216927, actual_exe_time: 88350, task_app_start_time:2088400391289101, task_sched_time:2088400555124197
app_id: 27, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400555182157, ref_stop_time: 2088400555246627, actual_exe_time: 64470, task_app_start_time:2088400453319181, task_sched_time:2088400555169197
app_id: 22, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400555782757, ref_stop_time: 2088400555864387, actual_exe_time: 81630, task_app_start_time:2088400408656283, task_sched_time:2088400555751197
app_id: 23, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400560685808, ref_stop_time: 2088400560782738, actual_exe_time: 96930, task_app_start_time:2088400413069464, task_sched_time:2088400560679718
app_id: 20, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400560824168, ref_stop_time: 2088400560911168, actual_exe_time: 87000, task_app_start_time:2088400397487852, task_sched_time:2088400560793508
app_id: 24, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400560849128, ref_stop_time: 2088400560934478, actual_exe_time: 85350, task_app_start_time:2088400425147766, task_sched_time:2088400560840818
app_id: 15, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 2088400560896168, ref_stop_time: 2088400560968288, actual_exe_time: 72120, task_app_start_time:2088400381426329, task_sched_time:2088400560891548
app_id: 25, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 2088400564837148, ref_stop_time: 2088400564912389, actual_exe_time: 75241, task_app_start_time:2088400433652017, task_sched_time:2088400564829618
app_id: 28, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 2088400565794389, ref_stop_time: 2088400565882529, actual_exe_time: 88140, task_app_start_time:2088400453766691, task_sched_time:2088400565780199
app_id: 26, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 2088400565867259, ref_stop_time: 2088400565951649, actual_exe_time: 84390, task_app_start_time:2088400444629829, task_sched_time:2088400565829639
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 2088400565893479, ref_stop_time: 2088400565978919, actual_exe_time: 85440, task_app_start_time:2088400335359192, task_sched_time:2088400565875539
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 2088400569416079, ref_stop_time: 2088400569594789, actual_exe_time: 178710, task_app_start_time:2088400336624862, task_sched_time:2088400569409119
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 2088400572856090, ref_stop_time: 2088400573404580, actual_exe_time: 548490, task_app_start_time:2088400337362442, task_sched_time:2088400572850720
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 2088400576885450, ref_stop_time: 2088400576966750, actual_exe_time: 81300, task_app_start_time:2088400347764944, task_sched_time:2088400576876120
app_id: 9, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 2088400580593481, ref_stop_time: 2088400580996921, actual_exe_time: 403440, task_app_start_time:2088400360694256, task_sched_time:2088400580543651
app_id: 6, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 2088400582833791, ref_stop_time: 2088400583672652, actual_exe_time: 838861, task_app_start_time:2088400353595775, task_sched_time:2088400582826021
