 40.7383 C 	 2089829955904444 ns 
 42.0750 C 	 2089829971695127 ns 
 41.8108 C 	 2089829983292408 ns 
 41.2978 C 	 2089829994982150 ns 
 41.4222 C 	 2089830010624933 ns 
 42.6034 C 	 2089830022117425 ns 
 41.6398 C 	 2089830037769447 ns 
 40.9870 C 	 2089830049530739 ns 
 42.6034 C 	 2089830060945621 ns 
 42.8832 C 	 2089830076496633 ns 
 41.2667 C 	 2089830087810265 ns 
 41.0958 C 	 2089830099200817 ns 
 41.1735 C 	 2089830115156950 ns 
 41.1579 C 	 2089830126701401 ns 
 41.0336 C 	 2089830142261984 ns 
 42.0128 C 	 2089830154000056 ns 
 40.5051 C 	 2089830165255008 ns 
 41.1579 C 	 2089830180438640 ns 
 40.0388 C 	 2089830191809962 ns 
 42.1061 C 	 2089830203321024 ns 
 40.8005 C 	 2089830218549686 ns 
 42.6812 C 	 2089830230320548 ns 
 41.7175 C 	 2089830245932191 ns 
 40.3652 C 	 2089830257313413 ns 
 40.5673 C 	 2089830268733154 ns 
 41.7952 C 	 2089830284406477 ns 
 40.5829 C 	 2089830295904639 ns 
 41.7175 C 	 2089830307595131 ns 
 41.8729 C 	 2089830322834263 ns 
 41.6087 C 	 2089830334007735 ns 
 41.7175 C 	 2089830349572967 ns 
 40.8315 C 	 2089830360982359 ns 
 41.2823 C 	 2089830372443891 ns 
 40.9714 C 	 2089830387837824 ns 
 42.0594 C 	 2089830399592515 ns 
 41.5154 C 	 2089830411121877 ns 
 42.2615 C 	 2089830427704710 ns 
 41.4066 C 	 2089830439019182 ns 
 40.9403 C 	 2089830450272214 ns 
 41.3445 C 	 2089830464995496 ns 
 41.3755 C 	 2089830479622208 ns 
 42.7278 C 	 2089830491541600 ns 
 43.3340 C 	 2089830507220503 ns 
 41.3289 C 	 2089830519205235 ns 
 41.2046 C 	 2089830531148867 ns 
 41.3600 C 	 2089830547852959 ns 
 42.7900 C 	 2089830560424401 ns 
 41.2978 C 	 2089830573879703 ns 
 41.4533 C 	 2089830586440495 ns 
 42.4791 C 	 2089830599945718 ns 
 42.0439 C 	 2089830612600050 ns 
 42.4325 C 	 2089830627654172 ns 
 41.2357 C 	 2089830641278554 ns 
 41.9662 C 	 2089830655256517 ns 
 41.2046 C 	 2089830668960309 ns 
 41.7797 C 	 2089830682501441 ns 
 41.9506 C 	 2089830695383833 ns 
 40.9403 C 	 2089830709255445 ns 
 41.0491 C 	 2089830722770927 ns 
 42.1372 C 	 2089830735995290 ns 
 42.4636 C 	 2089830753716922 ns 
 42.4325 C 	 2089830765677864 ns 
 42.3081 C 	 2089830777855136 ns 
 42.7589 C 	 2089830791019858 ns 
 41.7019 C 	 2089830804929991 ns 
 42.0439 C 	 2089830818570603 ns 
 42.3548 C 	 2089830834365635 ns 
 41.2357 C 	 2089830846336507 ns 
 43.0076 C 	 2089830858130379 ns 
 41.6398 C 	 2089830871580431 ns 
 41.7330 C 	 2089830885756004 ns 
 41.2978 C 	 2089830898442406 ns 
 40.6450 C 	 2089830913075688 ns 
 40.4740 C 	 2089830927229450 ns 
 39.8523 C 	 2089830942272503 ns 
 41.5154 C 	 2089830957088425 ns 
 40.4896 C 	 2089830974587128 ns 
 42.6501 C 	 2089830986573120 ns 
 41.0647 C 	 2089831001268232 ns 
 42.1838 C 	 2089831015880155 ns 
 41.1113 C 	 2089831032744447 ns 
 40.2098 C 	 2089831044885539 ns 
 40.7694 C 	 2089831059242252 ns 
 40.7694 C 	 2089831073753824 ns 
 41.3289 C 	 2089831090896787 ns 
 40.7538 C 	 2089831102539729 ns 
 41.4222 C 	 2089831114562320 ns 
 42.3858 C 	 2089831127817433 ns 
 41.6709 C 	 2089831142200995 ns 
 41.3911 C 	 2089831155116027 ns 
 42.1838 C 	 2089831170910820 ns 
 41.1424 C 	 2089831182816951 ns 
 41.3755 C 	 2089831194918323 ns 
 41.0647 C 	 2089831208121866 ns 
 40.8005 C 	 2089831222018498 ns 
 41.1269 C 	 2089831235461530 ns 
 42.3858 C 	 2089831251435392 ns 
 40.6295 C 	 2089831263255664 ns 
 41.7797 C 	 2089831278884377 ns 
 41.5465 C 	 2089831290666429 ns 
 41.5776 C 	 2089831306609331 ns 
 42.5724 C 	 2089831318468153 ns 
 40.2098 C 	 2089831330058835 ns 
 42.3392 C 	 2089831345937358 ns 
 41.4688 C 	 2089831357193810 ns 
 41.2046 C 	 2089831368837711 ns 
 40.5362 C 	 2089831384553844 ns 
 41.2046 C 	 2089831396133966 ns 
 41.9973 C 	 2089831411962808 ns 
 42.0750 C 	 2089831426095601 ns 
 41.0025 C 	 2089831441608393 ns 
 42.6501 C 	 2089831457317416 ns 
 40.4119 C 	 2089831470485168 ns 
 40.6606 C 	 2089831481965990 ns 
 41.2201 C 	 2089831497589572 ns 
 41.3134 C 	 2089831509438284 ns 
 42.2304 C 	 2089831521021406 ns 
 40.3963 C 	 2089831536679998 ns 
 41.4533 C 	 2089831550335641 ns 
 41.0025 C 	 2089831564661993 ns 
 41.5621 C 	 2089831582051556 ns 
 41.2978 C 	 2089831595998978 ns 
 41.7486 C 	 2089831610150490 ns 
 41.4688 C 	 2089831625770473 ns 
 40.3031 C 	 2089831641441035 ns 
 41.8885 C 	 2089831653828367 ns 
 40.7694 C 	 2089831669081570 ns 
 41.6864 C 	 2089831681965312 ns 
 42.3548 C 	 2089831693603424 ns 
 41.5465 C 	 2089831709170906 ns 
 41.7641 C 	 2089831720656348 ns 
 40.9403 C 	 2089831734427190 ns 
 42.3237 C 	 2089831749776093 ns 
 41.1424 C 	 2089831761133045 ns 
 41.1113 C 	 2089831776812547 ns 
 41.1735 C 	 2089831790879609 ns 
 41.8418 C 	 2089831802710771 ns 
 41.6709 C 	 2089831818015454 ns 
 42.6501 C 	 2089831829756466 ns 
 42.2149 C 	 2089831847555828 ns 
 41.8108 C 	 2089831858999900 ns 
 41.1735 C 	 2089831875667813 ns 
 41.3600 C 	 2089831887751275 ns 
 42.0905 C 	 2089831901083967 ns 
 41.5465 C 	 2089831916801330 ns 
 41.5310 C 	 2089831932544282 ns 
 41.4843 C 	 2089831943924634 ns 
 41.6087 C 	 2089831960911117 ns 
 41.2823 C 	 2089831972510919 ns 
 41.1890 C 	 2089831987786741 ns 
 41.6398 C 	 2089832003527564 ns 
 41.6242 C 	 2089832020814646 ns 
 41.4066 C 	 2089832032536248 ns 
 41.8574 C 	 2089832044933000 ns 
 41.0802 C 	 2089832058631482 ns 
 41.1269 C 	 2089832073982665 ns 
 41.2667 C 	 2089832085298547 ns 
 41.5621 C 	 2089832099986399 ns 
 42.1061 C 	 2089832115244462 ns 
 42.0284 C 	 2089832126888963 ns 
 41.9973 C 	 2089832140413446 ns 
 42.0594 C 	 2089832151861327 ns 
 40.8782 C 	 2089832167289910 ns 
 42.2149 C 	 2089832182492412 ns 
 40.6139 C 	 2089832198163755 ns 
 41.5621 C 	 2089832213576407 ns 
 40.8471 C 	 2089832229221230 ns 
 40.2875 C 	 2089832240666772 ns 
 40.9248 C 	 2089832256123734 ns 
 41.1269 C 	 2089832271572507 ns 
 41.0802 C 	 2089832283049129 ns 
 40.6606 C 	 2089832299760751 ns 
 40.9248 C 	 2089832315276844 ns 
 40.9559 C 	 2089832330486036 ns 
 43.3961 C 	 2089832342128708 ns 
 41.6398 C 	 2089832357349840 ns 
 40.7072 C 	 2089832373179793 ns 
 42.3548 C 	 2089832384387915 ns 
 40.8626 C 	 2089832399858617 ns 
 41.1424 C 	 2089832411620089 ns 
 41.7175 C 	 2089832423133281 ns 
 41.2823 C 	 2089832438338844 ns 
 41.1424 C 	 2089832450054565 ns 
 41.3755 C 	 2089832465687628 ns 
 41.3600 C 	 2089832477373470 ns 
 41.3600 C 	 2089832488928722 ns 
 40.8626 C 	 2089832502619314 ns 
 41.9196 C 	 2089832518468766 ns 
 41.9973 C 	 2089832530137268 ns 
 41.0025 C 	 2089832541754800 ns 
 40.1632 C 	 2089832555022782 ns 
 40.8471 C 	 2089832572126955 ns 
 41.3755 C 	 2089832587763528 ns 
 41.7952 C 	 2089832599271049 ns 
 41.7330 C 	 2089832615551632 ns 
 41.9662 C 	 2089832627085854 ns 
 41.2357 C 	 2089832642845876 ns 
 42.3392 C 	 2089832654444238 ns 
 41.5621 C 	 2089832670420801 ns 
 43.3961 C 	 2089832681897663 ns 
 41.9506 C 	 2089832693582605 ns 
 41.8885 C 	 2089832709462507 ns 
 41.5776 C 	 2089832721047849 ns 
 41.0025 C 	 2089832736574261 ns 
 41.1113 C 	 2089832748023853 ns 
 41.7641 C 	 2089832759663135 ns 
 41.2046 C 	 2089832775691118 ns 
 41.3755 C 	 2089832787226120 ns 
 41.0802 C 	 2089832799038172 ns 
 40.8471 C 	 2089832814978014 ns 
 42.4325 C 	 2089832826595306 ns 
 41.2512 C 	 2089832838009888 ns 
 41.9196 C 	 2089832853179060 ns 
 40.5518 C 	 2089832864990752 ns 
 42.1061 C 	 2089832880399655 ns 
 41.6398 C 	 2089832891963577 ns 
 40.6139 C 	 2089832907362219 ns 
 41.0802 C 	 2089832919321241 ns 
 42.3858 C 	 2089832930764443 ns 
 40.2564 C 	 2089832948241876 ns 
 41.9973 C 	 2089832959625437 ns 
 41.5776 C 	 2089832975019790 ns 
 41.5310 C 	 2089832987485692 ns 
 41.9196 C 	 2089833003671774 ns 
 41.4377 C 	 2089833019049717 ns 
 42.1527 C 	 2089833031001389 ns 
 41.5776 C 	 2089833042659091 ns 
 39.7746 C 	 2089833057954053 ns 
 42.5879 C 	 2089833069814135 ns 
 41.3755 C 	 2089833085728658 ns 
 41.9351 C 	 2089833097145610 ns 
 41.4222 C 	 2089833109021111 ns 
 41.5154 C 	 2089833124235524 ns 
 41.5465 C 	 2089833135667926 ns 
 40.0699 C 	 2089833147522128 ns 
 41.8885 C 	 2089833162886000 ns 
 41.7019 C 	 2089833174513612 ns 
 42.4946 C 	 2089833190314225 ns 
 41.4377 C 	 2089833202018066 ns 
 43.0853 C 	 2089833213648678 ns 
 40.7694 C 	 2089833229465131 ns 
 41.4533 C 	 2089833240975323 ns 
 40.9714 C 	 2089833252434455 ns 
 42.9920 C 	 2089833267821217 ns 
 40.3497 C 	 2089833279284969 ns 
 41.4688 C 	 2089833291088021 ns 
 42.0439 C 	 2089833306462693 ns 
 42.2304 C 	 2089833317918795 ns 
 41.3134 C 	 2089833333542048 ns 
 41.2823 C 	 2089833345266049 ns 
 42.1527 C 	 2089833356765351 ns 
