 37.6763 C 	 2117591966133064 ns 
 36.9302 C 	 2117591977800006 ns 
 37.6608 C 	 2117591992518368 ns 
 36.7748 C 	 2117592009047201 ns 
 37.4742 C 	 2117592021516223 ns 
 36.9924 C 	 2117592038946646 ns 
 36.8836 C 	 2117592054895308 ns 
 35.5780 C 	 2117592072874371 ns 
 37.2722 C 	 2117592087671664 ns 
 37.0235 C 	 2117592103678796 ns 
 37.4276 C 	 2117592115618918 ns 
 37.5364 C 	 2117592131809771 ns 
 38.7177 C 	 2117592146449623 ns 
 38.4845 C 	 2117592163091106 ns 
 38.1115 C 	 2117592174686468 ns 
 36.6816 C 	 2117592187151170 ns 
 38.5623 C 	 2117592203903982 ns 
 38.3291 C 	 2117592215883164 ns 
 38.5778 C 	 2117592231951017 ns 
 37.1012 C 	 2117592244417429 ns 
 36.9613 C 	 2117592256663281 ns 
 37.2256 C 	 2117592272707493 ns 
 36.7904 C 	 2117592285191305 ns 
 38.3602 C 	 2117592299948248 ns 
 37.4276 C 	 2117592311902200 ns 
 37.5986 C 	 2117592328312082 ns 
 38.8265 C 	 2117592340565974 ns 
 37.6297 C 	 2117592356475127 ns 
 37.0701 C 	 2117592368678979 ns 
 37.5830 C 	 2117592382827401 ns 
 37.1168 C 	 2117592398286614 ns 
 37.5675 C 	 2117592419408447 ns 
 38.5156 C 	 2117592431337709 ns 
 37.6452 C 	 2117592446714301 ns 
 37.6763 C 	 2117592462585234 ns 
 37.1789 C 	 2117592478754967 ns 
 38.6555 C 	 2117592493646099 ns 
 37.6297 C 	 2117592510414812 ns 
 37.2256 C 	 2117592526587724 ns 
 37.6918 C 	 2117592543870397 ns 
 37.6141 C 	 2117592556409679 ns 
 36.8992 C 	 2117592573088662 ns 
 37.2411 C 	 2117592588324254 ns 
 37.0080 C 	 2117592604680827 ns 
 38.6711 C 	 2117592620107819 ns 
 38.3602 C 	 2117592632396001 ns 
 38.0804 C 	 2117592648642624 ns 
 37.4121 C 	 2117592660634826 ns 
 38.9197 C 	 2117592674473048 ns 
 36.0443 C 	 2117592687043650 ns 
 37.2722 C 	 2117592702958983 ns 
 38.8420 C 	 2117592719650085 ns 
 37.2256 C 	 2117592731799937 ns 
 37.4432 C 	 2117592746503120 ns 
 38.6711 C 	 2117592762997872 ns 
 37.0235 C 	 2117592774857594 ns 
 36.1375 C 	 2117592787803376 ns 
 38.5467 C 	 2117592804348799 ns 
 38.1581 C 	 2117592816077631 ns 
 37.7851 C 	 2117592832364124 ns 
 38.6244 C 	 2117592844735706 ns 
 37.0546 C 	 2117592856487877 ns 
 38.2980 C 	 2117592870365460 ns 
 37.3499 C 	 2117592887455112 ns 
 37.3033 C 	 2117592899743804 ns 
 38.1737 C 	 2117592916019047 ns 
 37.7540 C 	 2117592927849579 ns 
 37.4276 C 	 2117592940186691 ns 
