 36.9924 C 	 2117591966082034 ns 
 37.7229 C 	 2117591977756116 ns 
 37.0080 C 	 2117591992473698 ns 
 38.0183 C 	 2117592009003101 ns 
 37.8473 C 	 2117592021470773 ns 
 38.9975 C 	 2117592038845366 ns 
 36.7904 C 	 2117592054852048 ns 
 36.8992 C 	 2117592072830511 ns 
 38.8265 C 	 2117592087627084 ns 
 38.5001 C 	 2117592103635536 ns 
 38.1271 C 	 2117592115575568 ns 
 38.4690 C 	 2117592131766031 ns 
 37.2411 C 	 2117592146403033 ns 
 37.7385 C 	 2117592163047396 ns 
 38.7954 C 	 2117592174642788 ns 
 37.3965 C 	 2117592187106440 ns 
 37.9405 C 	 2117592203860812 ns 
 38.2669 C 	 2117592215838944 ns 
 39.1373 C 	 2117592231907127 ns 
 36.6038 C 	 2117592244373989 ns 
 37.7851 C 	 2117592256619181 ns 
 38.2048 C 	 2117592272664053 ns 
 38.3913 C 	 2117592285147115 ns 
 38.2825 C 	 2117592299903968 ns 
 38.2980 C 	 2117592311858130 ns 
 37.4742 C 	 2117592328267022 ns 
 37.9094 C 	 2117592340522144 ns 
 38.5623 C 	 2117592356430727 ns 
 37.8317 C 	 2117592368635299 ns 
 39.0907 C 	 2117592382783931 ns 
 38.6555 C 	 2117592398242334 ns 
 38.6400 C 	 2117592419364887 ns 
 39.1995 C 	 2117592431292919 ns 
 37.5364 C 	 2117592446669721 ns 
 37.2256 C 	 2117592462542034 ns 
 38.5933 C 	 2117592478711677 ns 
 36.8370 C 	 2117592493601669 ns 
 37.7229 C 	 2117592510369992 ns 
 38.7332 C 	 2117592526544134 ns 
 37.7229 C 	 2117592543825907 ns 
 38.4379 C 	 2117592556366089 ns 
 37.3344 C 	 2117592573044922 ns 
 37.2411 C 	 2117592588280484 ns 
 37.5986 C 	 2117592604637087 ns 
 38.9197 C 	 2117592620063809 ns 
 39.6347 C 	 2117592632352111 ns 
 37.6297 C 	 2117592648597714 ns 
 37.8006 C 	 2117592660591146 ns 
 37.9872 C 	 2117592674429068 ns 
 38.7488 C 	 2117592687000900 ns 
 38.5001 C 	 2117592702914913 ns 
 38.2203 C 	 2117592719606825 ns 
 37.8628 C 	 2117592731757007 ns 
 38.1115 C 	 2117592746459530 ns 
 38.0493 C 	 2117592762953472 ns 
 37.3344 C 	 2117592774814544 ns 
 36.8681 C 	 2117592787760236 ns 
 37.1945 C 	 2117592804305449 ns 
 39.3705 C 	 2117592816035121 ns 
 38.2825 C 	 2117592832321464 ns 
 39.0596 C 	 2117592844692986 ns 
 37.6763 C 	 2117592856444827 ns 
 37.8006 C 	 2117592870323070 ns 
 37.3499 C 	 2117592887413082 ns 
 37.1789 C 	 2117592899701714 ns 
 37.5986 C 	 2117592915976027 ns 
 38.1426 C 	 2117592927807459 ns 
 38.3136 C 	 2117592940143731 ns 
 39.5104 C 	 2117592956647364 ns 
 38.6089 C 	 2117592968718525 ns 
 39.2617 C 	 2117592984746958 ns 
 37.2566 C 	 2117592997105490 ns 
 37.0080 C 	 2117593008674602 ns 
 37.4432 C 	 2117593025644285 ns 
 38.2203 C 	 2117593037890437 ns 
 37.5986 C 	 2117593049679809 ns 
 37.8784 C 	 2117593067650891 ns 
 38.5156 C 	 2117593080239463 ns 
 38.2825 C 	 2117593092611915 ns 
 38.3602 C 	 2117593108184528 ns 
 38.8265 C 	 2117593120558090 ns 
 38.2359 C 	 2117593136690053 ns 
 36.8525 C 	 2117593148601254 ns 
 37.8006 C 	 2117593161007006 ns 
 37.3188 C 	 2117593176592069 ns 
 38.3447 C 	 2117593188439371 ns 
 36.5572 C 	 2117593205934864 ns 
 38.1426 C 	 2117593217948816 ns 
 37.5986 C 	 2117593229618097 ns 
 37.9872 C 	 2117593246043910 ns 
 38.0960 C 	 2117593258136372 ns 
 37.9716 C 	 2117593269868744 ns 
 38.2514 C 	 2117593286017747 ns 
 37.4898 C 	 2117593297942358 ns 
 38.1737 C 	 2117593323141703 ns 
 37.6141 C 	 2117593338826965 ns 
 38.2203 C 	 2117593350675587 ns 
 37.7851 C 	 2117593366711940 ns 
 37.7074 C 	 2117593378852281 ns 
 37.9250 C 	 2117593394466294 ns 
 37.2566 C 	 2117593406360486 ns 
 36.8836 C 	 2117593418404288 ns 
 37.1789 C 	 2117593434953821 ns 
 38.3602 C 	 2117593446850292 ns 
 38.0960 C 	 2117593463094125 ns 
 38.8731 C 	 2117593475155627 ns 
 39.1995 C 	 2117593487008989 ns 
 37.4742 C 	 2117593503121571 ns 
 38.3291 C 	 2117593515494593 ns 
 38.3913 C 	 2117593531312606 ns 
 38.5312 C 	 2117593543117068 ns 
 38.4224 C 	 2117593555120880 ns 
 37.2100 C 	 2117593570700932 ns 
 37.2722 C 	 2117593582869054 ns 
 38.8420 C 	 2117593598834127 ns 
 37.9872 C 	 2117593610731229 ns 
 38.3913 C 	 2117593622456281 ns 
 37.0390 C 	 2117593639453293 ns 
 38.4845 C 	 2117593651493855 ns 
 38.0804 C 	 2117593667284208 ns 
 39.3860 C 	 2117593679151670 ns 
 38.2825 C 	 2117593691184702 ns 
 36.9769 C 	 2117593706959904 ns 
 38.4845 C 	 2117593718710396 ns 
 37.7696 C 	 2117593735075339 ns 
 37.4432 C 	 2117593747278441 ns 
 38.9197 C 	 2117593758955553 ns 
 38.2048 C 	 2117593775227225 ns 
 38.2203 C 	 2117593787093187 ns 
 37.4121 C 	 2117593798892549 ns 
 38.8420 C 	 2117593814982602 ns 
 38.5623 C 	 2117593827217714 ns 
 38.2669 C 	 2117593843046556 ns 
 38.0338 C 	 2117593855092548 ns 
 39.0285 C 	 2117593867294720 ns 
 37.9250 C 	 2117593882895743 ns 
 37.7229 C 	 2117593895017245 ns 
 37.9250 C 	 2117593910798477 ns 
 38.3757 C 	 2117593923121759 ns 
 37.2722 C 	 2117593935223101 ns 
 39.3239 C 	 2117593951205844 ns 
 38.7643 C 	 2117593966923236 ns 
 37.9094 C 	 2117593983078539 ns 
 38.1271 C 	 2117593999395121 ns 
 37.2566 C 	 2117594011291923 ns 
 38.0338 C 	 2117594027364126 ns 
 38.1115 C 	 2117594039255858 ns 
 38.8576 C 	 2117594051510020 ns 
 38.2825 C 	 2117594067503202 ns 
 38.1115 C 	 2117594079364964 ns 
 37.8006 C 	 2117594095551767 ns 
 37.8628 C 	 2117594108250469 ns 
 36.5106 C 	 2117594120253351 ns 
 38.7177 C 	 2117594136269153 ns 
 38.2514 C 	 2117594148563425 ns 
 38.3602 C 	 2117594160453537 ns 
 38.4068 C 	 2117594174934420 ns 
 37.7229 C 	 2117594191275122 ns 
 38.7021 C 	 2117594203302724 ns 
 38.6555 C 	 2117594219727067 ns 
 38.5623 C 	 2117594231955429 ns 
 38.8576 C 	 2117594247824741 ns 
 38.9819 C 	 2117594260019923 ns 
 39.2306 C 	 2117594272092735 ns 
 36.9613 C 	 2117594287630398 ns 
 38.3291 C 	 2117594299943630 ns 
 37.6141 C 	 2117594316111442 ns 
 38.2980 C 	 2117594328419184 ns 
 39.0752 C 	 2117594340987266 ns 
 37.7540 C 	 2117594356687079 ns 
