 37.7851 C 	 2117959593321097 ns 
 38.1581 C 	 2117959605354279 ns 
 38.2980 C 	 2117959617910001 ns 
 38.1271 C 	 2117959634099024 ns 
 39.1529 C 	 2117959645991596 ns 
 37.6297 C 	 2117959659933738 ns 
 38.8731 C 	 2117959677674031 ns 
 38.4690 C 	 2117959689617483 ns 
 37.3965 C 	 2117959703117335 ns 
 39.9145 C 	 2117959719898768 ns 
 38.4379 C 	 2117959731978090 ns 
 38.8420 C 	 2117959744394972 ns 
 38.0027 C 	 2117959759052044 ns 
 38.3447 C 	 2117959775069257 ns 
 37.3965 C 	 2117959786885088 ns 
 38.6866 C 	 2117959803930431 ns 
 39.7591 C 	 2117959818183553 ns 
 38.5778 C 	 2117959830315795 ns 
 38.6866 C 	 2117959847647098 ns 
 38.8887 C 	 2117959859781380 ns 
 37.7696 C 	 2117959873888192 ns 
 37.5830 C 	 2117959886195424 ns 
 37.9561 C 	 2117959902563907 ns 
 38.4535 C 	 2117959915066949 ns 
 38.9664 C 	 2117959931077322 ns 
 38.2514 C 	 2117959943351794 ns 
 37.3344 C 	 2117959955019696 ns 
 37.6141 C 	 2117959972800548 ns 
 37.9405 C 	 2117959985133550 ns 
 38.1426 C 	 2117959996686042 ns 
 38.0960 C 	 2117960011792395 ns 
 38.2825 C 	 2117960028002597 ns 
 40.2409 C 	 2117960040101539 ns 
 38.9508 C 	 2117960055850852 ns 
 36.4795 C 	 2117960068186914 ns 
 38.4224 C 	 2117960080333196 ns 
 39.3394 C 	 2117960096580778 ns 
 39.0752 C 	 2117960109054690 ns 
 37.5209 C 	 2117960120858462 ns 
 38.0804 C 	 2117960134469554 ns 
 37.7540 C 	 2117960150733007 ns 
 38.7643 C 	 2117960162663229 ns 
 38.4379 C 	 2117960178604781 ns 
 38.7799 C 	 2117960190716143 ns 
 38.4379 C 	 2117960202794595 ns 
 38.4224 C 	 2117960220401658 ns 
 38.4068 C 	 2117960233211540 ns 
 37.1012 C 	 2117960245575502 ns 
 37.1168 C 	 2117960261244835 ns 
 38.1892 C 	 2117960273684967 ns 
 38.8109 C 	 2117960285778059 ns 
 37.7540 C 	 2117960299455181 ns 
 39.2617 C 	 2117960315503144 ns 
 38.1426 C 	 2117960327299595 ns 
 38.8109 C 	 2117960343461408 ns 
 39.3860 C 	 2117960355790510 ns 
 37.5209 C 	 2117960367665442 ns 
 39.0596 C 	 2117960383387124 ns 
 37.3810 C 	 2117960395564336 ns 
 37.2411 C 	 2117960411383489 ns 
 38.4845 C 	 2117960423111601 ns 
 39.4171 C 	 2117960439102053 ns 
 38.5623 C 	 2117960451048115 ns 
 38.9197 C 	 2117960467379398 ns 
 37.8162 C 	 2117960479303200 ns 
 38.3291 C 	 2117960491095962 ns 
 38.0493 C 	 2117960509030115 ns 
 38.8420 C 	 2117960521184797 ns 
 38.6711 C 	 2117960532891219 ns 
 39.6969 C 	 2117960548908071 ns 
 38.6866 C 	 2117960561433733 ns 
 37.8006 C 	 2117960577202336 ns 
 38.6711 C 	 2117960589181008 ns 
 38.4845 C 	 2117960601356870 ns 
 38.0649 C 	 2117960617863502 ns 
 37.1789 C 	 2117960629644984 ns 
 37.7229 C 	 2117960642758406 ns 
 38.3447 C 	 2117960658907979 ns 
 38.9197 C 	 2117960670906151 ns 
 38.3757 C 	 2117960683239453 ns 
 39.5259 C 	 2117960698718405 ns 
 37.4587 C 	 2117960715066308 ns 
 37.9872 C 	 2117960727705490 ns 
 38.7799 C 	 2117960739736812 ns 
 38.4379 C 	 2117960755104524 ns 
 39.3239 C 	 2117960767666636 ns 
 38.2203 C 	 2117960783613229 ns 
 39.2151 C 	 2117960795603091 ns 
 38.2048 C 	 2117960811830663 ns 
 39.1840 C 	 2117960824334485 ns 
 38.3291 C 	 2117960836026447 ns 
 37.9716 C 	 2117960849901990 ns 
 38.6555 C 	 2117960863653752 ns 
 38.3757 C 	 2117960879272294 ns 
 37.6297 C 	 2117960895188587 ns 
 38.4690 C 	 2117960911049829 ns 
 39.2462 C 	 2117960923283051 ns 
 38.3913 C 	 2117960939194784 ns 
 38.3136 C 	 2117960951421466 ns 
 37.6763 C 	 2117960967382548 ns 
 38.2514 C 	 2117960979528350 ns 
 37.9716 C 	 2117960991897262 ns 
 38.3136 C 	 2117961007409965 ns 
 38.4535 C 	 2117961019417377 ns 
 37.5364 C 	 2117961035198009 ns 
 39.1840 C 	 2117961046857511 ns 
 38.3757 C 	 2117961058947903 ns 
 39.4327 C 	 2117961074867406 ns 
 38.8731 C 	 2117961086629868 ns 
 39.9611 C 	 2117961102764110 ns 
 38.2825 C 	 2117961114730782 ns 
 38.5933 C 	 2117961126644684 ns 
 38.3913 C 	 2117961142509917 ns 
 38.2048 C 	 2117961154280119 ns 
 39.6658 C 	 2117961166084280 ns 
 39.4016 C 	 2117961182006303 ns 
 39.7591 C 	 2117961193932685 ns 
 38.6400 C 	 2117961209502537 ns 
 39.0130 C 	 2117961221521979 ns 
 39.6969 C 	 2117961233289121 ns 
 39.0752 C 	 2117961249177124 ns 
 38.8420 C 	 2117961261538656 ns 
 37.6608 C 	 2117961277669688 ns 
 37.7074 C 	 2117961289596280 ns 
 38.3757 C 	 2117961301998402 ns 
 38.6244 C 	 2117961318850995 ns 
 39.3083 C 	 2117961330837527 ns 
 37.9872 C 	 2117961342583399 ns 
 38.8265 C 	 2117961359253981 ns 
 38.1115 C 	 2117961371367653 ns 
 37.4276 C 	 2117961383131285 ns 
 38.9042 C 	 2117961399245788 ns 
 38.8887 C 	 2117961411267330 ns 
 38.7021 C 	 2117961427000922 ns 
 38.4068 C 	 2117961439061464 ns 
 37.9716 C 	 2117961451086216 ns 
 38.5001 C 	 2117961470312319 ns 
 38.4379 C 	 2117961481937801 ns 
 39.2306 C 	 2117961497893184 ns 
 37.9716 C 	 2117961514218706 ns 
 37.5520 C 	 2117961526422198 ns 
 37.0235 C 	 2117961542127111 ns 
 38.4068 C 	 2117961554223623 ns 
 39.6192 C 	 2117961569970205 ns 
 39.2151 C 	 2117961582117837 ns 
 38.2514 C 	 2117961594239759 ns 
 37.3188 C 	 2117961609857162 ns 
 40.0388 C 	 2117961622312744 ns 
 37.1945 C 	 2117961634286256 ns 
 39.3860 C 	 2117961651084398 ns 
 38.4845 C 	 2117961663063070 ns 
 37.9405 C 	 2117961674970252 ns 
 39.7746 C 	 2117961691214625 ns 
 38.1737 C 	 2117961703215197 ns 
 40.3186 C 	 2117961715240129 ns 
 38.9353 C 	 2117961731329281 ns 
 40.4896 C 	 2117961742875923 ns 
 38.0804 C 	 2117961758729666 ns 
 37.2722 C 	 2117961771112648 ns 
 37.9250 C 	 2117961783025650 ns 
 39.0285 C 	 2117961799459262 ns 
 38.4224 C 	 2117961811527964 ns 
 37.2877 C 	 2117961827125087 ns 
 37.0235 C 	 2117961839361579 ns 
 38.8887 C 	 2117961850976411 ns 
 38.0960 C 	 2117961866830933 ns 
 38.9975 C 	 2117961879094035 ns 
 38.5001 C 	 2117961894598308 ns 
 37.7851 C 	 2117961906909890 ns 
 38.6089 C 	 2117961918668362 ns 
 38.4690 C 	 2117961935088474 ns 
 39.6814 C 	 2117961953841237 ns 
 39.0907 C 	 2117961968971470 ns 
 38.2203 C 	 2117961984894962 ns 
 36.9924 C 	 2117961998757244 ns 
 39.0907 C 	 2117962016273077 ns 
 39.1840 C 	 2117962028361849 ns 
 37.6763 C 	 2117962043167482 ns 
 38.6400 C 	 2117962055394224 ns 
 39.2928 C 	 2117962070865196 ns 
 38.6400 C 	 2117962082826888 ns 
 37.9250 C 	 2117962099098021 ns 
 39.6969 C 	 2117962111027282 ns 
 38.2825 C 	 2117962124125915 ns 
 38.3913 C 	 2117962140077487 ns 
 37.5675 C 	 2117962151662709 ns 
 38.9819 C 	 2117962168374182 ns 
 37.7696 C 	 2117962180189024 ns 
 38.0804 C 	 2117962192115016 ns 
 39.7124 C 	 2117962208545718 ns 
 38.3913 C 	 2117962220558140 ns 
 38.3757 C 	 2117962232518452 ns 
 38.9819 C 	 2117962248682275 ns 
 38.6711 C 	 2117962260916187 ns 
 39.0752 C 	 2117962275947629 ns 
 38.8265 C 	 2117962288063251 ns 
 38.4379 C 	 2117962301204963 ns 
 38.4690 C 	 2117962318083176 ns 
 38.3602 C 	 2117962330003618 ns 
 38.5778 C 	 2117962342081170 ns 
 38.9353 C 	 2117962356963692 ns 
 39.0907 C 	 2117962373723015 ns 
 38.5001 C 	 2117962389173497 ns 
 39.0285 C 	 2117962404867880 ns 
 38.1271 C 	 2117962421349612 ns 
 39.6503 C 	 2117962437495075 ns 
 39.0907 C 	 2117962453348248 ns 
 38.1271 C 	 2117962471457720 ns 
 39.7124 C 	 2117962483516822 ns 
 38.9664 C 	 2117962501828195 ns 
 37.3654 C 	 2117962513768647 ns 
 38.8109 C 	 2117962529957640 ns 
 37.7074 C 	 2117962546831143 ns 
 39.6192 C 	 2117962562502335 ns 
 39.0285 C 	 2117962577320568 ns 
 38.6244 C 	 2117962593361630 ns 
 38.6711 C 	 2117962605590922 ns 
 39.6036 C 	 2117962619197244 ns 
 37.9250 C 	 2117962631559556 ns 
 38.3913 C 	 2117962647318259 ns 
 39.1684 C 	 2117962663479261 ns 
 38.3447 C 	 2117962675486403 ns 
 38.2048 C 	 2117962691079266 ns 
 38.1115 C 	 2117962705752028 ns 
 37.5830 C 	 2117962722002821 ns 
 38.1271 C 	 2117962738082703 ns 
 38.6400 C 	 2117962755416376 ns 
 38.4845 C 	 2117962767310988 ns 
 39.7435 C 	 2117962783265771 ns 
 38.0649 C 	 2117962795369723 ns 
 39.8679 C 	 2117962811988795 ns 
 37.1478 C 	 2117962826056038 ns 
 38.0183 C 	 2117962841887220 ns 
 39.9767 C 	 2117962853801932 ns 
 38.3136 C 	 2117962870524205 ns 
 39.0752 C 	 2117962882296537 ns 
 39.8834 C 	 2117962898341109 ns 
 39.1995 C 	 2117962910509381 ns 
 37.5209 C 	 2117962922327013 ns 
 38.9664 C 	 2117962938270936 ns 
 37.5830 C 	 2117962950298508 ns 
 38.9197 C 	 2117962964814790 ns 
 39.1218 C 	 2117962980882432 ns 
 38.1892 C 	 2117962994682105 ns 
 38.0027 C 	 2117963010710687 ns 
 38.4535 C 	 2117963022989509 ns 
 38.7643 C 	 2117963039992432 ns 
 38.5467 C 	 2117963051815704 ns 
 37.9872 C 	 2117963064668276 ns 
 39.1373 C 	 2117963080825859 ns 
 38.4224 C 	 2117963094703261 ns 
 37.3965 C 	 2117963109577353 ns 
 38.7488 C 	 2117963127695316 ns 
 38.8576 C 	 2117963141269358 ns 
 37.5986 C 	 2117963153335540 ns 
 39.8212 C 	 2117963169456163 ns 
 38.3913 C 	 2117963182786545 ns 
 38.8109 C 	 2117963195947187 ns 
 37.7229 C 	 2117963212096130 ns 
 40.1787 C 	 2117963224709962 ns 
 39.4793 C 	 2117963236967964 ns 
 38.5467 C 	 2117963252927606 ns 
 39.2306 C 	 2117963264811298 ns 
 38.6711 C 	 2117963281883671 ns 
 38.5933 C 	 2117963293906053 ns 
 38.8576 C 	 2117963309328875 ns 
 38.3447 C 	 2117963325655478 ns 
 38.5933 C 	 2117963341780721 ns 
 38.8265 C 	 2117963360283914 ns 
 38.0338 C 	 2117963384312087 ns 
 38.3291 C 	 2117963398561580 ns 
 39.7280 C 	 2117963412045412 ns 
 38.2669 C 	 2117963428578085 ns 
 37.6608 C 	 2117963446076577 ns 
 39.0907 C 	 2117963459288579 ns 
 39.0130 C 	 2117963473425242 ns 
 37.8162 C 	 2117963489913364 ns 
 38.7332 C 	 2117963502383796 ns 
 39.3239 C 	 2117963515950309 ns 
 37.5830 C 	 2117963532076721 ns 
 38.9819 C 	 2117963546073943 ns 
 38.6866 C 	 2117963561792026 ns 
 37.7074 C 	 2117963573719788 ns 
 38.9975 C 	 2117963587913690 ns 
 39.3705 C 	 2117963603694953 ns 
 38.2669 C 	 2117963622800786 ns 
 38.4690 C 	 2117963638755598 ns 
 39.7591 C 	 2117963651124390 ns 
 38.2825 C 	 2117963667010953 ns 
 38.2669 C 	 2117963678899385 ns 
 37.6763 C 	 2117963695941068 ns 
 38.5001 C 	 2117963707959489 ns 
 37.2722 C 	 2117963720236361 ns 
 37.7385 C 	 2117963736552854 ns 
 38.4224 C 	 2117963748771286 ns 
 39.2772 C 	 2117963765012209 ns 
 38.1737 C 	 2117963777010771 ns 
 38.9353 C 	 2117963790265013 ns 
 37.5209 C 	 2117963804801725 ns 
 38.8731 C 	 2117963820800398 ns 
 38.6400 C 	 2117963832821100 ns 
 38.0027 C 	 2117963848529492 ns 
 39.4171 C 	 2117963860531144 ns 
 39.2151 C 	 2117963876871757 ns 
 38.4845 C 	 2117963888746359 ns 
 38.9975 C 	 2117963900715010 ns 
 38.4535 C 	 2117963916977863 ns 
 38.9819 C 	 2117963928810525 ns 
 38.2825 C 	 2117963944987848 ns 
 38.4845 C 	 2117963958632060 ns 
 39.1529 C 	 2117963972503702 ns 
 38.1271 C 	 2117963984366964 ns 
 37.5209 C 	 2117964000818607 ns 
 37.9250 C 	 2117964012405148 ns 
 38.0183 C 	 2117964030546181 ns 
 39.0907 C 	 2117964045670744 ns 
 39.3860 C 	 2117964059940156 ns 
 37.7540 C 	 2117964077833929 ns 
 39.1373 C 	 2117964089807801 ns 
 37.7229 C 	 2117964106315094 ns 
 39.1529 C 	 2117964122371636 ns 
 38.2669 C 	 2117964134661348 ns 
 38.8109 C 	 2117964149411721 ns 
 38.2359 C 	 2117964165534263 ns 
 39.3083 C 	 2117964181216586 ns 
 39.7902 C 	 2117964193009138 ns 
 39.0130 C 	 2117964209113410 ns 
 38.6400 C 	 2117964221216822 ns 
 38.3136 C 	 2117964237480185 ns 
 38.6866 C 	 2117964253508467 ns 
 38.9042 C 	 2117964265968639 ns 
 37.5675 C 	 2117964282081282 ns 
 37.9094 C 	 2117964294201014 ns 
 38.1271 C 	 2117964306354526 ns 
 38.3913 C 	 2117964322169328 ns 
 38.8887 C 	 2117964333981620 ns 
 40.1321 C 	 2117964349279643 ns 
 37.7696 C 	 2117964360996385 ns 
 38.7799 C 	 2117964377495247 ns 
 38.4690 C 	 2117964391073549 ns 
 38.9819 C 	 2117964403152451 ns 
 39.1840 C 	 2117964418858204 ns 
 38.6866 C 	 2117964432008796 ns 
 38.9664 C 	 2117964447550988 ns 
 38.5933 C 	 2117964461915411 ns 
 38.5933 C 	 2117964478013083 ns 
 38.8109 C 	 2117964497114896 ns 
 38.7643 C 	 2117964517475150 ns 
 38.3136 C 	 2117964529288432 ns 
 38.4068 C 	 2117964544621074 ns 
 39.8990 C 	 2117964560043807 ns 
 38.1115 C 	 2117964574042619 ns 
 39.1063 C 	 2117964586636381 ns 
 38.1892 C 	 2117964602753013 ns 
 39.2772 C 	 2117964614727095 ns 
 40.2720 C 	 2117964628937918 ns 
 39.9456 C 	 2117964644851720 ns 
 37.1789 C 	 2117964656756772 ns 
 38.9197 C 	 2117964672946155 ns 
 39.7591 C 	 2117964687926507 ns 
 37.7851 C 	 2117964700344619 ns 
 40.3963 C 	 2117964712366311 ns 
 39.3239 C 	 2117964728189514 ns 
 39.5881 C 	 2117964740178626 ns 
 38.5933 C 	 2117964756379258 ns 
 37.7540 C 	 2117964768557040 ns 
 38.6711 C 	 2117964780881732 ns 
 38.4535 C 	 2117964796545845 ns 
 38.0027 C 	 2117964808761157 ns 
 38.4224 C 	 2117964824030349 ns 
 37.7851 C 	 2117964835957451 ns 
 38.5156 C 	 2117964851657354 ns 
 39.1995 C 	 2117964867936796 ns 
 39.6347 C 	 2117964880113918 ns 
 38.4535 C 	 2117964894331640 ns 
 39.2617 C 	 2117964910265633 ns 
 37.2566 C 	 2117964928078406 ns 
 38.0493 C 	 2117964940012798 ns 
 38.7954 C 	 2117964952099920 ns 
 37.6608 C 	 2117964967328762 ns 
 38.0960 C 	 2117964983163065 ns 
 37.6608 C 	 2117965000314037 ns 
 38.9353 C 	 2117965012315269 ns 
 38.9664 C 	 2117965024226201 ns 
 39.7280 C 	 2117965040072144 ns 
 38.0649 C 	 2117965052710606 ns 
 38.7643 C 	 2117965064751828 ns 
 37.6608 C 	 2117965080815600 ns 
 38.5001 C 	 2117965094593193 ns 
 38.1115 C 	 2117965110263635 ns 
 39.1373 C 	 2117965125545128 ns 
 38.4535 C 	 2117965141686810 ns 
 37.7696 C 	 2117965157578263 ns 
 38.7799 C 	 2117965173579785 ns 
 38.6244 C 	 2117965190108918 ns 
 39.1840 C 	 2117965201827100 ns 
 37.7851 C 	 2117965217877042 ns 
 38.1115 C 	 2117965231414215 ns 
 38.7177 C 	 2117965244012477 ns 
 37.4742 C 	 2117965260135229 ns 
 38.4068 C 	 2117965272332961 ns 
 39.1840 C 	 2117965284205913 ns 
 37.6763 C 	 2117965300245806 ns 
 37.6452 C 	 2117965312510408 ns 
 38.6244 C 	 2117965324616040 ns 
 38.0804 C 	 2117965341139232 ns 
 37.5675 C 	 2117965352789524 ns 
 39.3394 C 	 2117965368961807 ns 
 39.4482 C 	 2117965381002789 ns 
 38.9197 C 	 2117965393116041 ns 
 40.5518 C 	 2117965409097223 ns 
 39.2928 C 	 2117965421111835 ns 
 40.9714 C 	 2117965437064518 ns 
 39.3705 C 	 2117965448847890 ns 
 39.7124 C 	 2117965461301612 ns 
 38.5312 C 	 2117965477411974 ns 
 37.9561 C 	 2117965489344686 ns 
 39.1995 C 	 2117965505127689 ns 
 38.7177 C 	 2117965517001061 ns 
 39.1218 C 	 2117965528989273 ns 
 40.0544 C 	 2117965543202015 ns 
 38.2980 C 	 2117965556734447 ns 
 38.4535 C 	 2117965571083449 ns 
 38.6400 C 	 2117965586839662 ns 
 37.8784 C 	 2117965603167314 ns 
 38.9042 C 	 2117965618860527 ns 
 37.7074 C 	 2117965631113159 ns 
