 38.5001 C 	 2117959593371737 ns 
 37.2722 C 	 2117959605398139 ns 
 36.8525 C 	 2117959617952841 ns 
 38.9042 C 	 2117959634142524 ns 
 38.9042 C 	 2117959646035456 ns 
 37.6918 C 	 2117959659977358 ns 
 38.3136 C 	 2117959677716871 ns 
 38.5312 C 	 2117959689660293 ns 
 38.3447 C 	 2117959703249725 ns 
 38.5778 C 	 2117959719943138 ns 
 37.6141 C 	 2117959732021020 ns 
 37.5830 C 	 2117959744438352 ns 
 38.7488 C 	 2117959759095574 ns 
 37.2877 C 	 2117959775111767 ns 
 37.6608 C 	 2117959786929368 ns 
 38.1115 C 	 2117959803973601 ns 
 38.3602 C 	 2117959818227173 ns 
 38.7643 C 	 2117959830359175 ns 
 38.3447 C 	 2117959847690718 ns 
 39.0441 C 	 2117959859824460 ns 
 37.6297 C 	 2117959873933582 ns 
 37.7851 C 	 2117959886239824 ns 
 37.0701 C 	 2117959902607917 ns 
 38.5778 C 	 2117959915110479 ns 
 37.8473 C 	 2117959931121302 ns 
 37.5209 C 	 2117959943396464 ns 
 37.5209 C 	 2117959955063106 ns 
 38.4068 C 	 2117959972843448 ns 
 37.3033 C 	 2117959985177710 ns 
 39.1529 C 	 2117959996730022 ns 
 39.0441 C 	 2117960011835565 ns 
 37.2411 C 	 2117960028046157 ns 
 37.3033 C 	 2117960040146059 ns 
 38.6555 C 	 2117960055895342 ns 
 37.4587 C 	 2117960068229604 ns 
 37.9250 C 	 2117960080376426 ns 
 39.7746 C 	 2117960096624998 ns 
 38.1115 C 	 2117960109097710 ns 
 37.8162 C 	 2117960120901242 ns 
 38.9975 C 	 2117960134512814 ns 
 37.4276 C 	 2117960150776297 ns 
 38.4845 C 	 2117960162706549 ns 
 37.2722 C 	 2117960178648491 ns 
 37.0546 C 	 2117960190759613 ns 
 38.6866 C 	 2117960202838065 ns 
 37.3810 C 	 2117960220444798 ns 
 37.8317 C 	 2117960233256900 ns 
 37.3499 C 	 2117960245619842 ns 
 35.6713 C 	 2117960261288605 ns 
 38.0960 C 	 2117960273729187 ns 
 38.0960 C 	 2117960285821259 ns 
 37.3965 C 	 2117960299514701 ns 
 38.2669 C 	 2117960315548834 ns 
 38.4224 C 	 2117960327343635 ns 
 38.3757 C 	 2117960343517238 ns 
 39.1995 C 	 2117960355835120 ns 
 38.5312 C 	 2117960367708342 ns 
 36.9769 C 	 2117960383429844 ns 
 37.4121 C 	 2117960395610446 ns 
 38.0027 C 	 2117960411427679 ns 
 38.5156 C 	 2117960423154741 ns 
 37.3033 C 	 2117960439147413 ns 
 38.0649 C 	 2117960451091825 ns 
 37.4432 C 	 2117960467422718 ns 
 36.2153 C 	 2117960479346910 ns 
 37.9561 C 	 2117960491139672 ns 
 38.4535 C 	 2117960509074635 ns 
 37.9250 C 	 2117960521228477 ns 
 39.9456 C 	 2117960532934449 ns 
 38.0338 C 	 2117960548951691 ns 
 39.2772 C 	 2117960561476843 ns 
 37.7385 C 	 2117960577247036 ns 
 36.7593 C 	 2117960589224808 ns 
 37.2877 C 	 2117960601400040 ns 
 37.7074 C 	 2117960617907002 ns 
 38.4690 C 	 2117960629687524 ns 
 37.7229 C 	 2117960642803586 ns 
 36.8370 C 	 2117960658950789 ns 
 37.2566 C 	 2117960670948841 ns 
 36.7904 C 	 2117960683283283 ns 
 38.3447 C 	 2117960698762355 ns 
